id,story,query,target,parse,gender,f_comb,ans
1584,"[Benny]'s dad [Edward] is the CEO of the company. [Lonnie] went to the grocery store for his brother [Benny], because he broke his leg. [Dorothy] and her husband [Benny] celebrated their anniversary last night. They went out to a nice restaurant to celebrate. [Lonnie]'s dad [Edward] is the CEO of the company.","('Dorothy', 'Edward')",father-in-law,"father(""Benny"", ""Edward""). son(""Edward"", ""Benny""). brother(""Lonnie"", ""Benny""). brother(""Benny"", ""Lonnie""). husband(""Dorothy"", ""Benny""). wife(""Benny"", ""Dorothy""). father(""Lonnie"", ""Edward""). son(""Edward"", ""Lonnie"").",,husband-father,['father-in-law']
1585,[Karen] baked cookies to send to her grandson [Barry]. [Barry] split them with his sister [Christine] after they arrived. [Christine] wants to go visit her grandmother [Karen] at her new home. [Christine] does n't want to go alone and asked her brother [Eddie] to come with her.,"('Eddie', 'Karen')",grandmother,"grandson(""Karen"", ""Barry""). grandmother(""Barry"", ""Karen""). brother(""Christine"", ""Barry""). sister(""Barry"", ""Christine""). grandmother(""Christine"", ""Karen""). grandson(""Karen"", ""Eddie""). brother(""Eddie"", ""Christine""). sister(""Christine"", ""Eddie"").",,sister-grandmother,['grandmother']
1586,"[Vernon] is a great uncle of [Barbara]. [Robin] went on a vacation with her brother [Vernon]. [Robin] took her daughter, [Barbara], out to High Tea yesterday afternoon. [Vernon] went to the baseball game with his son [Drew]","('Robin', 'Drew')",nephew,"great_uncle(""Barbara"", ""Vernon""). great_niece(""Vernon"", ""Barbara""). brother(""Robin"", ""Vernon""). sister(""Vernon"", ""Robin""). daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). son(""Vernon"", ""Drew""). father(""Drew"", ""Vernon"").",,brother-son,['nephew']
1587,"[Eric] was present in the delivery room when his daughter [Serena] was born, but when his daughter [Lisa] was born he was too sick. [Karen] loves her granddaughter, [Lisa]. She would do anything to make the little girl happy. [Serena] and her sister [Lisa] were fighting. They never fight long though, and they made up the next day.","('Karen', 'Serena')",granddaughter,"father(""Serena"", ""Eric""). daughter(""Eric"", ""Serena""). father(""Lisa"", ""Eric""). daughter(""Eric"", ""Lisa""). granddaughter(""Karen"", ""Lisa""). grandmother(""Lisa"", ""Karen""). sister(""Serena"", ""Lisa""). sister(""Lisa"", ""Serena"").",,granddaughter-sister,['granddaughter']
1588,[Shirley] needed to go to the store. [Shirley] asked her sister [Theresa] for a ride. [Shirley] is always around her brother [Edward]. [Karen] picked up her daughter [Shirley] from school early. [Karen] loves to make cookies for her son. His name is [Edward].,"('Theresa', 'Edward')",brother,"sister(""Shirley"", ""Theresa""). sister(""Theresa"", ""Shirley""). brother(""Shirley"", ""Edward""). sister(""Edward"", ""Shirley""). daughter(""Karen"", ""Shirley""). mother(""Shirley"", ""Karen""). son(""Karen"", ""Edward""). mother(""Edward"", ""Karen"").",,sister-brother,['brother']
1589,"[Robin] had a heart-to-heart conversation with her daughter [Serena] about some things. [Robin] was trying to reach her daughter [Barbara]. [Barbara] had her phone turned off because she was shopping with her sister [Serena], though. [Eric] cooked dinner for his wife [Robin]","('Eric', 'Serena')",daughter,"daughter(""Robin"", ""Serena""). mother(""Serena"", ""Robin""). daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). sister(""Barbara"", ""Serena""). sister(""Serena"", ""Barbara""). wife(""Eric"", ""Robin""). husband(""Robin"", ""Eric"").",,wife-daughter,['daughter']
1590,[Edward] loves his daughter [Dionne]. [Lonnie] took his brother [Jeffery] to get lunch at a local diner. [Jeffery] and his father [Edward] played video games all day last Saturday. [Edward] is taking his son [Lonnie] on a camping trip for the weekend.,"('Jeffery', 'Dionne')",sister,"daughter(""Edward"", ""Dionne""). father(""Dionne"", ""Edward""). brother(""Lonnie"", ""Jeffery""). brother(""Jeffery"", ""Lonnie""). father(""Jeffery"", ""Edward""). son(""Edward"", ""Jeffery""). son(""Edward"", ""Lonnie""). father(""Lonnie"", ""Edward"").",,father-daughter,['sister']
1591,"[Andrew] loved his mother, [Shirley], very much. [Shirley] decided to take a walk with her son [Drew] after dinner. [Drew]'s brother [Andrew] did n't feel like walking so he stayed at home. [Shirley] was mad at her brother [Edward], because [Edward] had called her fat.","('Andrew', 'Edward')",uncle,"son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley""). son(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley""). brother(""Drew"", ""Andrew""). brother(""Andrew"", ""Drew""). brother(""Shirley"", ""Edward""). sister(""Edward"", ""Shirley"").",,mother-brother,['uncle']
1592,"[Karen]'s grandson [Drew] was playing in the pool with his sister [Stacy]. [Andrew] was n't sure if he actually wanted to visit his sister [Stacy]. After he thought about it, he decided to visit his brother [Drew] instead.","('Karen', 'Stacy')",granddaughter,"grandson(""Karen"", ""Drew""). sister(""Drew"", ""Stacy""). sister(""Stacy"", ""Drew""). sister(""Andrew"", ""Stacy""). brother(""Andrew"", ""Drew""). sister(""Stacy"", ""Andrew""). brother(""Drew"", ""Andrew"").",,grandson-sister,['granddaughter']
1593,"[Shirley] grew up really close to her sister Rachel. When Rachel had her son [Barry], [Shirley] became like a second mom to him. [Henry] and his father [Kyle] went to the golf course in town on Saturday and had a great time. [Shirley] and [Henry] had a picnic at the park. They had sandwiches and salad. [Henry] was happy that his son [Barry] was doing well in college.","('Kyle', 'Shirley')",daughter,"sister(""Shirley"", ""Rachel""). sister(""Rachel"", ""Shirley""). son(""Rachel"", ""Barry""). mother(""Barry"", ""Rachel""). father(""Henry"", ""Kyle""). son(""Kyle"", ""Henry""). son(""Henry"", ""Barry""). father(""Barry"", ""Henry"").",,son-sister,['daughter']
1594,[Amanda] apologized to her father in law Rod for the accident. Rod's son [Barry] had backed into his car in the driveway when he was attempting to pull out. [Eddie] hit his brother [Barry] in the head. [Barry] asked his mother [Theresa] where babies came from. [Theresa] told him they came from the stork. [Eddie] was adopted kid. He discovered last week that [Theresa] is his mother.,"('Amanda', 'Theresa')",mother-in-law,"father-in-law(""Amanda"", ""Rod""). daughter-in-law(""Rod"", ""Amanda""). son(""Rod"", ""Barry""). father(""Barry"", ""Rod"") brother(""Barry"", ""Eddie""). brother(""Eddie"", ""Barry""). mother(""Barry"", ""Theresa""). son(""Theresa"", ""Barry""). adopted-child(""Theresa"", ""Eddie""). adoptive-mother(""Eddie"", ""Theresa"").",,husband-mother,
1595,[Lonnie] is love by his father [Edward]. [Jeffery] loves his brother [Lonnie]. [Jeffery] took his Dad [Edward] to visit his grandmother [Karen],"('Edward', 'Karen')",mother,"father(""Lonnie"", ""Edward""). son(""Edward"", ""Lonnie""). brother(""Jeffery"", ""Lonnie""). brother(""Lonnie"", ""Jeffery""). father(""Jeffery"", ""Edward""). son(""Edward"", ""Ed""). grandmother(""Jeffery"", ""Karen""). grandson(""Karen"", ""Jeffery"").",,son-grandmother,['mother']
1596,"[Andrew] called for his wife [Margaret] for dinner from the kitchen window. She was painting the deck outside with [Andrew]'s father [Vernon]. [Vernon]'s son, [James], went to the candy store. [James]'s brother, [Andrew], went with him.","('Vernon', 'Margaret')",daughter-in-law,"wife(""Andrew"", ""Margaret""). husband(""Margaret"", ""Andrew""). father(""Andrew"", ""Vernon""). son(""Vernon"", ""Andrew""). son(""Vernon"", ""James""). father(""James"", ""Vernon""). brother(""James"", ""Andrew""). brother(""Andrew"", ""James"").",,son-wife,['daughter-in-law']
1597,"[Barry]'s father, [Henry], bought him some ice cream. [Kristen] recently helped her brother [Henry] move his son [Eddie] into his college dorm. [Eddie]'s brother, [Barry], brought the car over to help him.","('Eddie', 'Kristen')",aunt,"father(""Barry"", ""Henry""), son(""Henry"", ""Barry""), brother(""Kristen"", ""Henry""), sister(""Henry"", ""Kristen""), son(""Henry"", ""Eddie""), father(""Eddie"", ""Henry""), brother(""Barry"", ""Eddie""), brother(""Eddie"", ""Barry"").",,father-sister,['aunt']
1598,[Karen] picked up her daughter [Theresa] from school early. [Karen] brought her daughter [Robin] a cake. [Robin]'s daughter [Serena] wanted to eat the cake. [Theresa] and her sister [Robin] played golf together. [Theresa] won easily.,"('Serena', 'Karen')",grandmother,"daughter(""Karen"", ""Theresa""). mother(""Theresa"", ""Karen""). daughter(""Karen"", ""Robin""). mother(""Robin"", ""Karen""). daughter(""Robin"", ""Serena""). mother(""Serena"", ""Robin""). sister(""Theresa"", ""Robin""). sister(""Robin"", ""Theresa"").",,mother-mother,['grandmother']
1599,[Lisa] took her sister [Marlene] out for dinner to celebrate her birthday. [Karen] is meeting her granddaughter [Lisa] at the museum [Karen] liked to take her granddaughter [Marlene] shopping. [Karen] is [Kyle]'s first wife,"('Kyle', 'Lisa')",granddaughter,"sister(""Lisa"", ""Marlene""). sister(""Marlene"", ""Lisa""). granddaughter(""Karen"", ""Lisa""), grandmother(""Lisa"", ""Karen""). granddaughter(""Karen"", ""Marlene""). grandmother(""Marlene"", ""Karen""). wife(""Kyle"", ""Karen""). husband(""Karen"", ""Kyle"").",,wife-granddaughter,['granddaughter']
1600,[Barry] asked his brother [Eddie] to help him fix his car and he said he would after he got off work. [John] went out for lunch with his grandmother [Karen] and his brother [Eddie]. [Eddie] and is making a special card for his grandmother [Karen].,"('Barry', 'Karen')",grandmother,"brother(""Barry"", ""Eddie""). brother(""Eddie"", ""Barry""). grandmother(""John"", ""Karen""). grandson(""Karen"", ""John""). brother(""John"", ""Eddie""). brother(""Eddie"", ""John""). grandmother(""Eddie"", ""Karen""). grandson(""Karen"", ""Eddie"").",,brother-grandmother,['grandmother']
1601,"[Edward] took his niece [Marlene] to the park to walk her dog. [Eric] took his daughter, [Serena], to the Cavaliers game on Saturday. [Serena] was talking about food with her sister [Marlene]. [Eric] took his daughter, [Marlene], to the Cavaliers game on Saturday.","('Eric', 'Edward')",brother,"niece(""Edward"", ""Marlene""). uncle(""Marlene"", ""Edward""). daughter(""Eric"", ""Serena""). father(""Serena"", ""Eric""). sister(""Serena"", ""Marlene""). sister(""Marlene"", ""Serena""). daughter(""Eric"", ""Marlene""). father(""Marlene"", ""Eric"").",,daughter-uncle,['brother']
1602,"[Lisa] was sewing a sweater for her sister [Barbara]. [Marlene] and her sister [Lisa] have never been close. Still, they love each other because they are family. [Marlene] asked her two sisters [Serena] and [Barbara] if they were free for coffee this coming weekend.","('Barbara', 'Serena')",sister,"sister(""Lisa"", ""Barbara""). sister(""Barbara"", ""Lisa""). sister(""Marlene"", ""Lisa""). sister(""Lisa"", ""Marlene""). sister(""Marlene"", ""Serena""). sister(""Serena"", ""Marlene""). sister(""Marlene"", ""Barbara""). sister(""Barbara"", ""Marlene"").",,sister-sister,['sister']
1603,"[Shirley] almost forgot to pick up her son [Drew] from school. She quickly strapped her daughter [Stacy] in her booster seat and rushed to go get him. [Shirley] thought her son, [Andrew], was being rude by not helping to clean the house. Instead, he paid his sister, [Stacy], to clean for him.","('Drew', 'Stacy')",sister,"son(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley""). daughter(""Shirley"", ""Stacy""). mother(""Stacy"", ""Shirley""). son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley""). sister(""Andrew"", ""Stacy""). brother(""Stacy"", ""Andrew"").",,mother-daughter,['sister']
1604,"[Lonnie] gave his mother [Kristen] flowers on her birthday. [Kristen] and her father [Kyle] went to the park. They had a wonderful time there, feeding the ducks. [Lonnie] was delayed picking up his sister, [Dionne], from class. Thankfully, [Kristen]'s mom, [Dionne], was already there.","('Lonnie', 'Kyle')",grandfather,"son(""Kristen"", ""Lonnie""). mother(""Lonnie"", ""Kristen""). father(""Kristen"", ""Kyle""). daughter(""Kyle"", ""Kristen""). sister(""Lonnie"", ""Dionne""). brother(""Dionne"", ""Lonnie""), mother(""Kristen"", ""Dionne""). grandmother(""Lonnie"", ""Dionne"").",,mother-father,['grandfather']
1605,"[Theresa] and her sister [Edward] went to the ice cream shop. [Karen] loves when her daughter, [Theresa], comes to visit. Sometimes [Theresa] brings along her son, [Barry]. [Karen]'s son, [Edward], recently started a pawn shop.","('Karen', 'Barry')",grandson,"sister(""Theresa"", ""Edward""). sister(""Edward"", ""Theresa""). daughter(""Karen"", ""Theresa""). mother(""Theresa"", ""Karen""). son(""Theresa"", ""Barry""), mother(""Barry"", ""Theresa""). son(""Karen"", ""Edward""), mother(""Edward"", ""Karen"").",,daughter-son,['grandson']
1606,"[Karen] took her granddaughter [Christine] out to play near the lake. [Eddie] and her sister [Christine] decided to take a trip to Mexico together. [Karen] had to pick up her grandson [John] and his sister, [Christine], from school today.","('Karen', 'Eddie')",grandson,"granddaughter(""Karen"", ""Christine""). grandmother(""Christine"", ""Karen""). sister(""Eddie"", ""Christine""). brother(""Christine"", ""Eddie""). grandson(""Karen"", ""John""). brother(""John"", ""Christine""). sister(""Christine"", ""John"").",,granddaughter-brother,['grandson']
1607,[Vernon] is taking his son [Drew] out for coffee. [Vernon] made a sandwich for his son [James]. [James]'s brother [Drew] ate an apple instead. [Kyle] and his son [Vernon] went to the store to by bread.,"('Kyle', 'Drew')",grandson,"son(""Vernon"", ""Drew""). father(""Drew"", ""Vernon""). son(""Vernon"", ""James""). father(""James"", ""Vernon""). brother(""James"", ""Drew""). son(""Kyle"", ""Vernon""). father(""Vernon"", ""Kyle"").",,son-son,['grandson']
1608,"[Kyle] came to visit his wife [Karen] for lunch today. [Robin] took her daughter [Marlene] and her mother [Karen] car shopping. [Kyle] always saw his daughter, [Robin], as the apple of his eye.","('Karen', 'Marlene')",granddaughter,"wife(""Kyle"", ""Karen""). husband(""Karen"", ""Kyle""). daughter(""Robin"", ""Marlene""). mother(""Marlene"", ""Robin""). mother(""Robin"", ""Karen""). daughter(""Karen"", ""Robin"").",,daughter-daughter,['granddaughter']
1609,"[Robin] had a heart-to-heart conversation with her daughter [Serena] about some things. [Kyle] absolutely adores his granddaughter, [Lisa]. [Serena] took her grandfather [Kyle] out to eat last Sunday after church. They had ice cream for dessert. [Lisa] was sewing a sweater for her sister [Serena].","('Robin', 'Kyle')",father,"daughter(""Robin"", ""Serena""). mother(""Serena"", ""Robin""). granddaughter(""Kyle"", ""Lisa""). grandfather(""Lisa"", ""Kyle""). granddaughter(""Kyle"", ""Serena""). grandfather(""Serena"", ""Kyle""). sister(""Lisa"", ""Serena""). sister(""Serena"", ""Lisa"").",,daughter-grandfather,['father']
1610,"[Vernon] was excited to finally spend some one on one time with his daughter [Stacy]. [Karen] took her son, [Vernon], to the movie theater for his birthday. [Karen] and her husband [Kyle] took a cruise. [Kyle]'s son [Vernon] watched their dogs while they were gone.","('Karen', 'Stacy')",granddaughter,"daughter(""Vernon"", ""Stacy""). father(""Stacy"", ""Vernon""). son(""Karen"", ""Vernon""). mother(""Vernon"", ""Karen""). husband(""Karen"", ""Kyle""). wife(""Kyle"", ""Karen"").",,son-daughter,['granddaughter']
1611,"[Serena] is getting married. She is looking forward to her sister, [Marlene], attending. They have n't seen each other since [Marlene] relocated to California with her husband 3 years ago. [Serena] and her grandmother, [Karen], spend a lot of time together, just talking. They're kindred spirits. [Marlene] loved played dolls with her grandmother, [Karen]. [Robin] took her daughter, [Serena], out to High Tea yesterday afternoon.","('Robin', 'Karen')",mother,"sister(""Serena"", ""Marlene""). sister(""Marlene"", ""Serena""). wife(""Marlene"", ""?""). grandmother(""Serena"", ""Karen""). granddaughter(""Karen"", ""Serena""). grandmother(""Marlene"", ""Karen""). granddaughter(""Karen"", ""Marlene""). daughter(""Robin"", ""Serena""). mother(""Serena"", ""Robin"").",,daughter-grandmother,['mother']
1612,"[Vernon] and his brother [Edward] went out for lunch. [Vernon] had a burger, and [Edward] had a chicken sandwich. [Benny] received a pair of socks as a gift from his uncle [Eric]. [Edward] always looked up to his brother [Eric]. [Edward] does not know he has a son named [Benny].","('Vernon', 'Eric')",brother,"brother(""Vernon"", ""Edward""). brother(""Edward"", ""Vernon""). uncle(""Benny"", ""Eric""). nephew(""Eric"", ""Benny""). brother(""Edward"", ""Eric""). brother(""Eric"", ""Edward""). son(""Edward"", ""Benny""). father(""Benny"", ""Edward"").",,brother-brother,['brother']
1613,"[Edward] took his daughter [Dionne] to the bookstore, and bought her some books from her favorite author. [Kristen] and her husband [Edward] watched the fireworks by the lake last night. [Edward]'s daughter, [Patty], was bored. So, she asked her sister [Dionne] to play with her.","('Kristen', 'Dionne')",daughter,"daughter(""Edward"", ""Dionne""). father(""Dionne"", ""Edward""). husband(""Kristen"", ""Edward""). wife(""Edward"", ""Kristen""). daughter(""Edward"", ""Patty""). father(""Patty"", ""Edward""). sister(""Patty"", ""Dionne""). sister(""Dionne"", ""Patty"").",,husband-daughter,['daughter']
1614,"[Theresa] and her brother [Vernon] were having a wonderful time at Disneyland. [Robin]'s father [Kyle] is taking her to a movie because she got good grades. [Robin]'s brother [Vernon] was going to be the star in the new show. [Theresa] and her sister [Robin] have never been close. Still, they love each other because they are family.","('Kyle', 'Vernon')",son,"brother(""Theresa"", ""Vernon""). sister(""Vernon"", ""Theresa""). father(""Robin"", ""Kyle""). daughter(""Kyle"", ""Robin""). brother(""Robin"", ""Vernon""). sister(""Vernon"", ""Robin""). sister(""Theresa"", ""Robin""). sister(""Robin"", ""Theresa"").",,daughter-brother,['son']
1615,"[Kyle] always had some great adventure planned for his granddaughter [Stacy] when she came to visit. So, naturally, when [Shirley] told her daughter [Stacy] that they would be going to visit [Kyle] she could hardly contain herself. [Shirley] spanked her daughter, [Stacy], for misbehaving. [Vernon], [Shirley]'s husband, did n't approve of the use of corporal punishment, but he was away on a business trip.","('Shirley', 'Kyle')",father,"granddaughter(""Kyle"", ""Stacy""). grandfather(""Stacy"", ""Kyle""). daughter(""Shirley"", ""Stacy""). mother(""Stacy"", ""Shirley""). husband(""Shirley"", ""Vernon""), wife(""Vernon"", ""Shirley"").",,daughter-grandfather,"['father', 'father-in-law']"
1616,"[Kyle] has a lovely daughter who plays piano named [Theresa]. [Kyle] also has a son [Vernon] who loves to play sports. [Vernon]'s sister, [Theresa], participated in the dance contest. [Kristen] and her brother [Vernon] were having a wonderful time at Disneyland.","('Kristen', 'Theresa')",sister,"daughter(""Kyle"", ""Theresa""). father(""Theresa"", ""Kyle""). son(""Kyle"", ""Vernon""). father(""Vernon"", ""Kyle""). sister(""Vernon"", ""Theresa""). brother(""Theresa"", ""Vernon""). sister(""Kristen"", ""Vernon""). brother(""Vernon"", ""Kristen"").",,brother-sister,['sister']
1617,"[Henry] watched his son [Barry] play catch. [Barry] tossed the ball back and fourth with his brother [John]. [Christine] and her brother [John] watched TV together. [Barry] was invited to watch too, because [Christine] is his sister.","('Henry', 'John')",son,"son(""Henry"", ""Barry""). father(""Barry"", ""Henry""). brother(""Barry"", ""John""). brother(""John"", ""Barry""). sister(""Barry"", ""Christine""). sister(""Christine"", ""John""). brother(""John"", ""Christine"").",,son-brother,"['son', 'daughter']"
1618,"[Marlene] invited her father [Eric] to her high school father daughter dance. [Michael] bought flowers for his wife [Marlene]. [Barbara]'s father, [Eric] just got out of a court hearing. [Marlene] was sewing a sweater for her sister [Barbara].","('Eric', 'Michael')",son-in-law,"father(""Marlene"", ""Eric""). daughter(""Eric"", ""Marlene""). wife(""Michael"", ""Marlene""). husband(""Marlene"", ""Michael""). father(""Barbara"", ""Eric""). daughter(""Eric"", ""Barbara""). sister(""Marlene"", ""Barbara""). sister(""Barbara"", ""Marlene"").",,daughter-husband,['son-in-law']
1619,"[Drew] was angry with his brother [James] for forgetting to pick him up from school. [Kyle] is an engineer who loves to take his son [Vernon] to the science museum to help him learn about the world [Drew] loves to play baseball with his dad, [Vernon]. [James] loves to play baseball with his dad, [Vernon].","('Kyle', 'James')",grandson,"brother(""Drew"", ""James""), brother(""James"", ""Drew""), son(""Kyle"", ""Vernon""), father(""Vernon"", ""Kyle""), son(""Vernon"", ""Drew""), father(""Drew"", ""Vernon""), son(""Vernon"", ""James""), father(""James"", ""Vernon"").",,son-son,['grandson']
1620,"[Barry] asked his father [Henry] if they could go to the library. [Henry]'s father [Kyle] was there already, waiting for them. [John] and his brother [Barry] went to the store. [Barry] wanted to buy his grandfather [Kyle] a nice birthday present.","('John', 'Kyle')",grandfather,"father(""Barry"", ""Henry""). son(""Henry"", ""Barry""). father(""Henry"", ""Kyle""). son(""Kyle"", ""Henry""). brother(""John"", ""Barry""). brother(""Barry"", ""John""). grandfather(""Barry"", ""Kyle""). grandson(""Kyle"", ""Barry"").",,brother-grandfather,['grandfather']
1621,"[Kyle] brought his grandson, [Eddie], out to lunch. [Karen] has been married to her husband [Kyle] for 50 years, and they rarely had any arguments. [Barry] wanted to go to the bookstore with his grandfather, [Kyle], but [Barry]'s brother, [Eddie], told him that [Kyle] wo n't be able to come today.","('Karen', 'Eddie')",grandson,"grandson(""Kyle"", ""Eddie""). grandfather(""Eddie"", ""Kyle""). husband(""Karen"", ""Kyle""). wife(""Kyle"", ""Karen""). grandfather(""Barry"", ""Kyle""). grandson(""Kyle"", ""Barry""). brother(""Barry"", ""Eddie""). brother(""Eddie"", ""Barry"").",,husband-grandson,['grandson']
1622,[Karen]'s son [Henry] went on a hiking trip with her husband [Kyle]. [Henry] and his daughter [Christine] went to see [Henry]'s father [Kyle] to see how he was feeling because he had been sick with the flu.,"('Kyle', 'Christine')",granddaughter,"son(""Karen"", ""Henry""). mother(""Henry"", ""Karen""). husband(""Karen"", ""Kyle""). father(""Henry"", ""Kyle""). daughter(""Henry"", ""Christine""). granddaughter(""Kyle"", ""Christine"").",,son-daughter,['granddaughter']
1623,"[Eddie]'s father's name is [Henry]. [Eddie] and his brother [John] got into a fight over who was the better basketball player. [Henry]'s son, [John], was ill and needed to be picked up at school. [Henry] hurried to his side. [Eddie] visited his aunt [Robin].","('Henry', 'Robin')",sister,"father(""Eddie"", ""Henry""). son(""Henry"", ""Eddie""). brother(""Eddie"", ""John""). brother(""John"", ""Eddie""). son(""Henry"", ""John""). father(""John"", ""Henry""). aunt(""Eddie"", ""Robin""). nephew(""Robin"", ""Eddie"").",,son-aunt,['sister']
1624,[Drew]'s sister [Stacy] asked him for some help planting her garden. [Shirley]'s son [James] and son [Drew] went to the park together to play. [Stacy] and her mother [Shirley] went dress shopping on Saturday.,"('James', 'Drew')",brother,"sister(""Drew"", ""Stacy""). brother(""Stacy"", ""Drew""). son(""Shirley"", ""James""). mother(""James"", ""Shirley""). son(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley""). daughter(""Shirley"", ""Stacy""). mother(""Stacy"", ""Shirley"").",,mother-son,['brother']
1625,"[Robin]'s daughter, [Barbara], just graduated high school. [Karen] and her daughter [Robin] went out for ice cream. [Karen] got a cone and [Robin] got a sundae. [Eric] took his daughter [Barbara] to school on Monday, then took his wife [Robin] out for breakfast.","('Karen', 'Barbara')",granddaughter,"daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). daughter(""Karen"", ""Robin""). mother(""Robin"", ""Karen""). daughter(""Eric"", ""Barbara""). father(""Barbara"", ""Eric""). wife(""Eric"", ""Robin""). husband(""Robin"", ""Eric"").",,daughter-daughter,['granddaughter']
1626,[Serena] and her sister [Barbara] played golf together. [Serena] won easily. [Eric] drove his daughter [Barbara] to school yesterday because she missed the bus. [Carl] has been married to [Barbara] for ten years today. [Serena] called her dad [Eric] to pick her up from school.,"('Carl', 'Eric')",father-in-law,"sister(""Serena"", ""Barbara""). sister(""Barbara"", ""Serena""). father(""Barbara"", ""Eric""). daughter(""Eric"", ""Barbara""). husband(""Carl"", ""Barbara""). wife(""Barbara"", ""Carl""). father(""Serena"", ""Eric""). daughter(""Eric"", ""Serena"").",,wife-father,['father-in-law']
1627,[Shirley] and her son [Drew] went to the zoo with [Shirley]'s brother [Henry]. [James] got into an argument with his brother [Drew] and pushed him to the floor. As he burst into tears [James] ran to his mother [Shirley] for comfort.,"('Henry', 'Drew')",nephew,"son(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley""). brother(""Shirley"", ""Henry""). sister(""Henry"", ""Shirley""). brother(""James"", ""Drew""). brother(""Drew"", ""James""). mother(""James"", ""Shirley""). son(""Shirley"", ""James"").",,sister-son,['nephew']
1628,"[Eric] called his brother [Henry] on the phone. He wanted to go out for some beers. [Henry] and his brother [Edward] wanted to backpack across Europe together once they graduated college. [Eric] and his brother [Edward] played at jacks. [Lonnie] asked his son, [Edward], to help paint his house.","('Henry', 'Lonnie')",nephew,"brother(""Eric"", ""Henry""). brother(""Henry"", ""Eric""). brother(""Henry"", ""Edward""). brother(""Edward"", ""Henry""). brother(""Eric"", ""Edward""). brother(""Edward"", ""Eric""). son(""Lonnie"", ""Edward""). father(""Edward"", ""Lonnie"").",,brother-son,['father']
1629,"[Eric] was taking his daughter [Marlene] to the mall to buy some new shoes. [Barbara], [Marlene]'s sister, was glad because she finally had the house all to herself for a few hours. [Barbara]'s father, [Eric], took her to school this morning. [Henry] is picking up his niece [Barbara] from school today because her parents are both working.","('Eric', 'Henry')",brother,"daughter(""Eric"", ""Marlene""). father(""Marlene"", ""Eric""). sister(""Marlene"", ""Barbara""). sister(""Barbara"", ""Marlene""). father(""Barbara"", ""Eric""). daughter(""Eric"", ""Barbara""). uncle(""Barbara"", ""Henry""). niece(""Henry"", ""Barbara"").",,daughter-uncle,['brother']
1630,"[Andrew] and his sister [Stacy] went to brunch today at the new diner. [Shirley] took her son, [Andrew], to the movie theater for his birthday. [Shirley] and her daughter [Stacy] went shopping together last Monday and they bought new shoes for [Shirley]'s kids. [Drew] has a brother who is younger than him. The brother has a sister whose name is [Stacy].","('Drew', 'Andrew')",brother,"brother(""Andrew"", ""Stacy""). sister(""Stacy"", ""Andrew""). son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley""). daughter(""Shirley"", ""Stacy""). mother(""Stacy"", ""Shirley""). brother(""Drew"", ""Andrew""). brother(""Stacy"", ""Drew""). sister(""Drew"", ""Stacy"").",,sister-brother,"['brother', 'sister']"
1631,"[Barbara] is getting married. She is looking forward to her sister, [Serena], attending. They have n't seen each other since [Serena] relocated to California with her husband 3 years ago. [Lisa] is a woman with a sister named [Serena]. [Serena] and her sister [Marlene] have never been close. Still, they love each other because they are family. [Barbara] and her sister [Marlene] were fighting. They never fight long though, and they made up the next day.","('Marlene', 'Lisa')",sister,"sister(""Barbara"", ""Serena""). sister(""Serena"", ""Barbara""). wife(""Serena"", ""?""). sister(""Lisa"", ""Serena""). sister(""Serena"", ""Lisa""). sister(""Serena"", ""Marlene""). sister(""Marlene"", ""Serena""). sister(""Barbara"", ""Marlene""). sister(""Marlene"", ""Barbara"").",,sister-sister,['sister']
1632,[Karen] loves playing chess her son. His name is [Edward]. [Dionne] is taking a trip to see her sister [Patty]. [Edward] loves watching movies with his daughter. Her name is [Patty]. [Edward] and his daughter [Dionne] like to read poems together.,"('Dionne', 'Karen')",grandmother,"son(""Karen"", ""Edward""), mother(""Edward"", ""Karen""), sister(""Dionne"", ""Patty""), sister(""Patty"", ""Dionne""), daughter(""Edward"", ""Patty""), father(""Patty"", ""Edward""), daughter(""Edward"", ""Dionne""), father(""Dionne"", ""Edward"").",,father-mother,['grandmother']
1633,"[John]'s grandfather is [Kyle]. [Christine] and her grandfather [Kyle] went to the museum. [Christine] was bored, so they soon left. [Christine] took her brother [John] to work Monday because his car was in the shop getting a tune up. [Theresa] took her son [John] to the football game.","('Theresa', 'Kyle')",father,"grandfather(""John"", ""Kyle""). grandson(""Kyle"", ""John""). granddaughter(""Kyle"", ""Christine""). grandfather(""Christine"", ""Kyle""). brother(""Christine"", ""John""). sister(""John"", ""Christine""). son(""Theresa"", ""John""). mother(""John"", ""Theresa"").",,son-grandfather,['father']
