id,story,query,target,parse,gender,f_comb,ans
1226,[Edward] and his wife [Kristen] went to the beach to enjoy some nice weather. [Edward] insisted that his daughter [Sarah] come with to get some time outside. [Kristen] and her sister [Robin] are the only children in their family. [Kristen] and her daughter [Sarah] are entering the competition together.,"('Robin', 'Sarah')",niece,"wife(""Edward"", ""Kristen""). husband(""Kristen"", ""Edward""). daughter(""Edward"", ""Sarah""). father(""Sarah"", ""Edward""). sister(""Kristen"", ""Robin""). daughter(""Kristen"", ""Sarah""). mother(""Sarah"", ""Kristen"").",,sister-daughter,[]
1258,"[Edward] took his daughter, [Dorothy], to the father daughter dance at church. [Dionne] was playing hide-and-seek with her sister [Dorothy]. [Edward] read his daughter [Dionne] a bedtime story. Soon she was fast asleep. [Robin] was more than happy to help her sister by watching her child [Dorothy].","('Edward', 'Robin')",sister,"daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward""). sister(""Dionne"", ""Dorothy""). sister(""Dorothy"", ""Dorothy""). daughter(""Edward"", ""Dionne""). father(""Dionne"", ""Edward""). child(""Robin"", ""Dorothy""), mother(""Dorothy"", ""Robin"").",,daughter-aunt,[]
1261,"[Karen] and her daughter [Shirley] are entering the competition together. [Karen]'s mom, [Kristen] got ready for the party. [Kristen] was swimming with her sister [Shirley]. [Kristen]'s brother [Eric] was tanning.","('Eric', 'Shirley')",sister,"daughter(""Karen"", ""Shirley""). mother(""Shirley"", ""Karen""). mother(""Karen"", ""Kristen""). daughter(""Kristen"", ""Karen""). sister(""Kristen"", ""Shirley""). brother(""Kristen"", ""Eric"").",,sister-sister,[]
1264,"[Eric] and his sister [Shirley] went to brunch today at the new diner. [Edward] took his sister [Shirley] out to dinner for her birthday. [Eric] and his brother [Edward] went to the carnival. [Edward] wanted to ride the Ferris wheel, but [Eric] insisted they go on the bumper cars first. [Lisa] invited her father [Eric] to her high school father daughter dance.","('Shirley', 'Lisa')",niece,"sister(""Eric"", ""Shirley""). brother(""Eric"", ""Edward""). sister(""Edward"", ""Shirley""). brother(""Edward"", ""Eric""). father(""Lisa"", ""Eric""). daughter(""Eric"", ""Lisa"").",,brother-daughter,[]
1266,"[Verdie]'s brother [Darnell] was going to be the star in the new show. [Michelle] called [Verdie], her sister, to see if she wanted to go out to eat. [Michelle] loves her brother [Darnell]. [Verdie] could n't wait for the surprise birthday party that she was throwing for her brother [Barry] next weekend.","('Barry', 'Darnell')",brother,"brother(""Verdie"", ""Darnell""). sister(""Verdie"", ""Michelle""). brother(""Michelle"", ""Darnell""). brother(""Verdie"", ""Barry"").",,sister-brother,[]
1276,"[Vernon] is a sibling of [Eric]. [Eric] always enjoyed playing with his sister, [Kristen], when they were growing up. [Vernon] took his daughter [Constance] to the movies [Kristen] and her sister [Vernon] went to the ice cream shop.","('Constance', 'Kristen')",aunt,"sibling(""Vernon"", ""Eric""). brother(""Eric"", ""Vernon""). sister(""Eric"", ""Kristen""). brother(""Kristen"", ""Eric""). daughter(""Vernon"", ""Constance""). father(""Constance"", ""Vernon""). sister(""Kristen"", ""Verdie""). sister(""Verdie"", ""Kristen"").",,father-sister,[]
1321,"[Eric] always saw his daughter, [Marlene], as the apple of his eye. [Eric] always looked up to his big brother [Henry] and wanted to be just like him. [Robin] is on her way to visit her daughter [Marlene]'s new house. [Robin]'s husband [Eric] is out of town and wo n't be going with her.","('Henry', 'Marlene')",niece,"daughter(""Eric"", ""Marlene""). father(""Marlene"", ""Eric""). brother(""Eric"", ""Henry""). husband(""Robin"", ""Eric""). wife(""Eric"", ""Robin""). daughter(""Robin"", ""Marlene""). mother(""Marlene"", ""Robin"").",,brother-daughter,[]
1330,"[Kyle] and his daughter [Shirley] went to the store. [Shirley]'s child, [Stacy] was already there waiting for them. [Shirley] was talking about food with her sister [Theresa]. [Kyle] 'daughter [Theresa] was a beautiful women. [Theresa] also adored her father [Kyle]","('Stacy', 'Kyle')",grandfather,"father(""Shirley"", ""Kyle""). daughter(""Kyle"", ""Shirley""). child(""Shirley"", ""Stacy""). parent(""Stacy"", ""Shirley""). sister(""Shirley"", ""Theresa""). sister(""Theresa"", ""Shirley""). daughter(""Kyle"", ""Theresa""). father(""Theresa"", ""Kyle"").",,mother-father,[]
1343,"[Kristen] is ready to dye Easter eggs with [Dorothy]! [Kristen] and her daughter [Patty] went to church. They were both very religious. [Patty] was talking to her grandmother, [Karen]. She told her that her sister, [Dorothy], had pulled her hair.","('Dorothy', 'Karen')",grandmother,"daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). granddaughter(""Patty"", ""Karen""). grandmother(""Karen"", ""Patty""). sister(""Patty"", ""Dorothy""). sister(""Dorothy"", ""Patty"").",,sister-grandmother,[]
1355,"[Eric] made dinner reservations for his sister [Shirley]. [Raquel] adores her daughter [Shirley]. [Shirley] loves her very much, too. [Karen] and her daughter [Shirley] went out for ice cream. [Karen] got a cone and [Shirley] got a sundae. [Karen] loved to care for her newborn child [Eric].","('Karen', 'Raquel')",granddaughter,"sister(""Eric"", ""Shirley""). brother(""Shirley"", ""Eric""). daughter(""Raquel"", ""Shirley""). mother(""Shirley"", ""Raquel""). daughter(""Karen"", ""Shirley""). mother(""Shirley"", ""Karen""). child(""Karen"", ""Eric""), mother(""Eric"", ""Karen"").",,daughter-daughter,[]
1358,"[Eric] and his mother [Karen] are very close. They spend as much time together as they can. [Henry] helped his mother [Karen] move into a new apartment. [Barry], [Henry]'s son, helped them carry boxes inside the new apartment. [Eric] got mad at his brother [Henry] after he stole his pretzels.","('Barry', 'Karen')",grandmother,"mother(""Eric"", ""Karen""). son(""Karen"", ""Eric""). mother(""Henry"", ""Karen""). son(""Karen"", ""Henry"") son(""Henry"", ""Barry""). father(""Barry"", ""Henry""). brother(""Eric"", ""Henry""). brother(""Henry"", ""Eric"").",,father-mother,
1364,"[Vernon] and his daughter, [Stacy] go to concerts every week. [Andrew] and his sister [Stacy] stood in line at the fair. [Andrew] is the great aunt of the marvelous [Robin]. [Vernon]'s son [Andrew] entered rehab for the ninth time at the age of thirty.","('Vernon', 'Robin')",sister,"daughter(""Vernon"", ""Stacy""). father(""Stacy"", ""Vernon""). sister(""Andrew"", ""Stacy""). brother(""Stacy"", ""Andrew""). great_aunt(""Andrew"", ""Robin""). great_niece(""Robin"", ""Andrew""). son(""Vernon"", ""Andrew""). father(""Andrew"", ""Vernon"").",,son-aunt,[]
1372,[Patty]'s grandfather [Kyle] enjoys spending time with her very much. [Karen] apologized to her father in law Rod for the accident. Rod's son [Kyle] had backed into his car in the driveway when he was attempting to pull out. [Kyle] asked his granddaughter [Dorothy] to take him to a doctor's appointment. [Dorothy] asked her sister [Patty] to come along but she said she could n't make it.,"('Karen', 'Patty')",granddaughter,"grandfather(""Patty"", ""Kyle""). granddaughter(""Kyle"", ""Patty""). son(""Rod"", ""Kyle""). father(""Kyle"", ""Rod""). granddaughter(""Kyle"", ""Dorothy""). grandfather(""Dorothy"", ""Kyle""). sister(""Dorothy"", ""Patty""). sister(""Patty"", ""Dorothy"").",,husband-granddaughter,[]
1375,"[Allen] went with his father [Eric] to a baseball game. Jame's sister, [Shirley], called to ask where they wanted to meet up for dinner. [Lisa] invited her father [Eric] to her high school father daughter dance. [Lisa]'s brother [Allen] was going to be the star in the new show.","('Shirley', 'Allen')",nephew,"father(""Allen"", ""Eric""). son(""Eric"", ""Allen""). sister(""James"", ""Shirley""). brother(""Shirley"", ""James""). father(""Lisa"", ""Eric""). daughter(""Eric"", ""Lisa""). brother(""Lisa"", ""Allen""). sister(""Allen"", ""Lisa"").",,brother-son,[]
1438,"[Shirley] took her son [Andrew] to school and his grandfather [Kyle] picked him up at then end of the school day. [Shirley]'s mom, [Constance] got ready for the party. [Shirley] was disappointed when her father, [Kyle] did not allow her to sleep over with her friends.","('Constance', 'Kyle')",grandfather,"son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley""). grandfather(""Andrew"", ""Kyle""). grandson(""Kyle"", ""Andrew""). mother(""Shirley"", ""Constance""). daughter(""Constance"", ""Shirley""). father(""Shirley"", ""Kyle""). daughter(""Kyle"", ""Shirley"").",,mother-father,[]
1443,"[Vernon] has been married to [Shirley] for ten years today. [Shirley] noticed her daughter [Constance] was n't feeling well. [Constance]'s sister, [Stacy], went to get medicine. [Shirley] had a heart-to-heart conversation with her daughter [Stacy] about some things.","('Vernon', 'Stacy')",daughter,"spouse(""Vernon"", ""Shirley""). spouse(""Shirley"", ""Vernon""). mother(""Constance"", ""Shirley""). daughter(""Shirley"", ""Constance""). sister(""Constance"", ""Stacy""). sister(""Stacy"", ""Constance""). mother(""Stacy"", ""Shirley""). daughter(""Shirley"", ""Stacy"").",,wife-daughter,[]
1480,"[Eric] loves watching movies with his daughter. Her name is [Barbara]. [Serena] and her father [Eric] went for a hike in the mountains. [Eric] and his sister [Kristen] were hoping for a snow day. [Serena] is getting married. She is looking forward to her sister, [Barbara], attending. They have n't seen each other since [Barbara] relocated to California with her husband 3 years ago.","('Serena', 'Kristen')",aunt,"daughter(""Eric"", ""Barbara""). father(""Barbara"", ""Eric""). daughter(""Eric"", ""Serena""). father(""Serena"", ""Eric""). sister(""Eric"", ""Kristen""). brother(""Kristen"", ""Eric""). sister(""Serena"", ""Barbara""). sister(""Barbara"", ""Serena"")",,father-sister,
1482,"[Kyle] wants to take his son [Edward] shopping. [Lonnie] is looking forward to his special dinner with his dad [Edward]. [Kyle] took his granddaughter, [Patty], to a basketball game last night. [Edward] was shopping for a new dress for his daughter [Patty].","('Lonnie', 'Kyle')",grandfather,"son(""Kyle"", ""Edward""). father(""Edward"", ""Kyle""). dad(""Lonnie"", ""Edward""). son(""Edward"", ""Lonnie""). granddaughter(""Kyle"", ""Patty""). grandfather(""Patty"", ""Kyle""). daughter(""Edward"", ""Patty""). father(""Patty"", ""Edward"").",,father-father,[]
1506,[Andrew] was enjoying the delicious meal prepared by his mother [Shirley]. [Robin] has sister who just had a baby boy and named him [Drew]. [Robin] is exited to be his aunt. [Shirley]'s son called [Drew] is good and intelligent boy [Robin] and her sister [Shirley] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while.,"('Andrew', 'Robin')",aunt,"son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley""). nephew(""Robin"", ""Drew""). aunt(""Drew"", ""Robin""). son(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley"") sister(""Robin"", ""Shirley""). sister(""Shirley"", ""Robin"").",,mother-sister,
1526,"[Edward] bought a book for his son [Lonnie]. [Dorothy] went out for pizza with her father [Edward]. [Lonnie]'s son is sick today so his mother, [Sarah], will stay home with him. [Lonnie]'s sister, [Dorothy], was crying, so he told her a joke. She laughed, and felt better.","('Sarah', 'Edward')",father-in-law,"son(""Edward"", ""Lonnie""). father(""Lonnie"", ""Edward""). father(""Dorothy"", ""Edward""). daughter(""Edward"", ""Dorothy""). mother(""Lonnie's son"", ""Sarah""). father(""Lonnie's son"", ""Lonnie""). sister(""Lonnie"", ""Dorothy""). brother(""Dorothy"", ""Lonnie"").",,husband-father,[]
1530,[John] went out for lunch with his grandmother [Karen] and his brother [Eddie]. [Eddie] is a man with a son named [Henry]. [Karen] made apple pie with her grandson [Eddie].,"('Henry', 'Karen')",mother,"grandmother(""John"", ""Karen""). grandson(""Karen"", ""John""). brother(""John"", ""Eddie""). brother(""Eddie"", ""John""). son(""Eddie"", ""Henry""). father(""Henry"", ""Eddie""). grandmother(""Eddie"", ""Karen""). grandson(""Karen"", ""Eddie"").",,son-grandmother,[]
1594,[Amanda] apologized to her father in law Rod for the accident. Rod's son [Barry] had backed into his car in the driveway when he was attempting to pull out. [Eddie] hit his brother [Barry] in the head. [Barry] asked his mother [Theresa] where babies came from. [Theresa] told him they came from the stork. [Eddie] was adopted kid. He discovered last week that [Theresa] is his mother.,"('Amanda', 'Theresa')",mother-in-law,"father-in-law(""Amanda"", ""Rod""). daughter-in-law(""Rod"", ""Amanda""). son(""Rod"", ""Barry""). father(""Barry"", ""Rod"") brother(""Barry"", ""Eddie""). brother(""Eddie"", ""Barry""). mother(""Barry"", ""Theresa""). son(""Theresa"", ""Barry""). adopted-child(""Theresa"", ""Eddie""). adoptive-mother(""Eddie"", ""Theresa"").",,husband-mother,
1637,"[Stacy] and her brother [Andrew] went to visit [Karen]'s grandmother, [Stacy]. [Andrew]'s grandmother, [Karen], ha grand plans for the family for Christmas. [Vernon] went on a roadtrip with his youngest child, [Andrew].","('Vernon', 'Karen')",mother,"sister(""Stacy"", ""Andrew""). brother(""Andrew"", ""Stacy""). grandmother(""Stacy"", ""Karen""). granddaughter(""Karen"", ""Stacy""). grandmother(""Andrew"", ""Karen""). grandson(""Karen"", ""Andrew""). child(""Vernon"", ""Andrew""). father(""Andrew"", ""Vernon"").",,son-grandmother,[]
1644,"[Shirley]'s daughter, [Stacy], asked her mom to read her a story. [Robin]'s sister, [Shirley], recently started acting. [Stacy] has an aunt named [Robin] [Barbara] and her mother [Robin] went dress shopping on Saturday.","('Shirley', 'Barbara')",niece,"daughter(""Shirley"", ""Stacy""). mother(""Stacy"", ""Shirley""). sister(""Robin"", ""Shirley""). sister(""Shirley"", ""Robin""). aunt(""Stacy"", ""Robin""). daughter(""Barbara"", ""Robin""). mother(""Barbara"", ""Robin"").",,sister-daughter,[]
1655,[Robin] takes her daughter [Barbara] to the movies for her birthday. [Barbara]'s sister [Lisa] ca n't come too since she has to work. [Robin] made a pie for her daughter [Lisa]. [Lisa]'s sister [Serena] really enjoyed it.,"('Serena', 'Robin')",mother,"daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). sister(""Barbara"", ""Lisa""). daughter(""Robin"", ""Lisa""). mother(""Lisa"", ""Robin""). sister(""Lisa"", ""Serena"").",,sister-mother,[]
1681,"[Eddie] was playing his sister [Christine]. Suddenly, [Christine]'s mother [Theresa] called her to come upstairs right away. The hostess called out [Kyle]'s name and [Theresa] told her father their table was ready. [Eddie] asked his mother, [Theresa], to bake him a cake. She told him to wait for his birthday.","('Eddie', 'Kyle')",grandfather,"brother(""Christine"", ""Eddie""). sister(""Eddie"", ""Christine""). mother(""Christine"", ""Theresa""). daughter(""Theresa"", ""Christine""). granddaughter(""Kyle"", ""Theresa""). grandfather(""Theresa"", ""Kyle""). son(""Theresa"", ""Eddie""). mother(""Eddie"", ""Theresa"").",,mother-father,[]
1716,[Edward] is [Patty]'s father. [Edward] and his sister [Shirley] went to brunch today at the new diner. [Kristen] told her daughter [Patty] to wash up. Dinner was ready. [Kristen] is so happy to go on vacation her her husband. His name is [Edward].,"('Shirley', 'Patty')",niece,"father(""Patty"", ""Edward""). daughter(""Edward"", ""Patty""). sister(""Edward"", ""Shirley""). brother(""Shirley"", ""Edward""). mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Patty"") husband(""Kristen"", ""Edward""). wife(""Edward"", ""Kristen"").",,brother-daughter,
1741,[Patty] and her sister [Dionne] are the only children in their family. [Kristen] loved to play dress-up with her daughter [Patty]. [Theresa] likes going to the mall with her aunt [Patty]. [Dionne] and her mother [Kristen] went to volunteer at the homeless shelter last weekend.,"('Kristen', 'Theresa')",sister,"sister(""Patty"", ""Dionne""). sister(""Dionne"", ""Patty""). daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). aunt(""Theresa"", ""Patty""). niece(""Patty"", ""Theresa""). mother(""Dionne"", ""Kristen""). daughter(""Kristen"", ""Dionne"").",,daughter-aunt,[]
1803,"[Verdie] and her sister [John] went to the ice cream shop. [Christine] and her brother [John] went to the diner to eat yummy food together. [Verdie]'s sister, [Christine], recently started acting. [Kyle] and his granddaughter [Verdie] like to play putt putt golf together.","('John', 'Kyle')",grandfather,"sister(""Verdie"", ""John""), brother(""Verdie"", ""John""). sister(""Christine"", ""John""), brother(""Christine"", ""John""). sister(""Verdie"", ""Christine""), sister(""Christine"", ""Verdie""). granddaughter(""Kyle"", ""Verdie""), grandfather(""Verdie"", ""Kyle"").",,sister-grandfather,[]
1815,"[Kristen] is married to Thomas and when she was 24, the couple welcomed [Dorothy] into the world. [Patty] loved her mother [Kristen]. She was heartbroken when she heard [Kristen] had suddenly passed away. [Kristen] went shopping with her daughter [Dionne]. [Dionne]'s sister [Patty] was too busy to join them.","('Patty', 'Dorothy')",sister,"wife(""Kristen"", ""Thomas""). husband(""Thomas"", ""Kristen"") child(""Kristen"", ""Dorothy""). mother(""Dorothy"", ""Kristen""). daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Dionne""). mother(""Dionne"", ""Kristen""). sister(""Dionne"", ""Patty""). sister(""Patty"", ""Dionne"").",,mother-daughter,
1854,"[Andrew] hated [Vernon], so [Andrew] ran away from home. [Andrew] figured [Vernon] did n't like being hid dad anyhow. [Karen] took her granddaughter [Constance] out to dinner because her father [Vernon] did n't have anything to cook for his daughter. [Karen] and her son [Vernon] had lunch together at a local Chinese restaurant.","('Andrew', 'Karen')",grandmother,"son(""Karen"", ""Vernon""). mother(""Vernon"", ""Karen""). granddaughter(""Karen"", ""Constance""). grandmother(""Constance"", ""Karen""). father(""Constance"", ""Vernon""). daughter(""Vernon"", ""Constance"").",,father-mother,[]
1857,[Dionne]'s father [Edward] is taking her to a movie because she got good grades. [Dionne] was looking at her mother [Kristen] very closely. She was confused because [Kristen] was sitting next to her twin sister [Theresa]. [Edward] was excited to surprise his wife [Kristen] with tickets to her favorite musician's concert.,"('Theresa', 'Dionne')",niece,"father(""Dionne"", ""Edward""). daughter(""Edward"", ""Dionne""). mother(""Dionne"", ""Kristen""). daughter(""Kristen"", ""Dionne""). twin(""Kristen"", ""Theresa""). twin(""Theresa"", ""Kristen""). wife(""Edward"", ""Kristen""). husband(""Kristen"", ""Edward"").",,sister-daughter,[]
1887,[Vernon] loves his daughter [Constance]. [Andrew] enjoys talking to his sister. Her name is [Constance]. [Henry] is a great uncle of [Constance]. [Vernon] is an engineer who loves to take his son [Andrew] to the science museum to help him learn about the world,"('Vernon', 'Henry')",brother,"daughter(""Vernon"", ""Constance""). father(""Constance"", ""Vernon""). sister(""Andrew"", ""Constance""). brother(""Constance"", ""Andrew""). greatUncle(""Henry"", ""Constance""). son(""Vernon"", ""Andrew""). father(""Andrew"", ""Vernon"").",,daughter-uncle,[]
1901,"[Vernon]'s sister [Kristen] asked him to play cards with her, He did n't want to, he wanted to go ride bikes with his brother [Henry] instead. [Dorothy] went to the store with her mother, [Kristen]. While they were in the fruit aisle, they ran into [Kristen]'s brother, [Henry].","('Henry', 'Dorothy')",niece,"sister(""Vernon"", ""Kristen""). brother(""Vernon"", ""Henry""). brother(""Kristen"", ""Henry""). mother(""Dorothy"", ""Kristen""). daughter(""Kristen"", ""Dorothy"").",,sister-daughter,[]
1928,"[John]'s dad [Henry] is the CEO of the company. [Henry]'s father, [Kyle], bought him some ice cream. [Kyle] took his grandson [John] to the mall. [John]'s sister [Verdie] was jealous.","('Verdie', 'Kyle')",grandfather,"father(""John"", ""Henry""), son(""Henry"", ""John""). CEO(""Henry""). father(""Henry"", ""Kyle""), son(""Kyle"", ""Henry""), grandson(""Kyle"", ""John""). brother(""Verdie"", ""John""), sister(""John"", ""Verdie"").",,brother-grandfather,
2030,"[Edward] is washing clothes with his daughter [Sarah]. [Sarah]'s sister [Dorothy] is folding clothes. [Edward] took his daughter, [Dorothy], to the father daughter dance at church. [Edward] waited for [Kristen] to wrap up at work.","('Kristen', 'Dorothy')",daughter,"daughter(""Edward"", ""Sarah""). father(""Sarah"", ""Edward""). sister(""Sarah"", ""Dorothy""). daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward"").",,husband-daughter,[]
2040,"[Edward] decided to give his son [Ronald], for his birthday, the latest version of Apple watch. [Sarah] borrowed some money from her brother [Ronald]. [Edward]'s mother, [Karen], was worried about him. He had n't been eating. [Sarah] misses her father [Edward] when she is at school.","('Sarah', 'Karen')",grandmother,"son(""Edward"", ""Ronald""). father(""Ronald"", ""Edward""). brother(""Sarah"", ""Ronald""). sister(""Ronald"", ""Sarah""). mother(""Edward"", ""Karen"") son(""Karen"", ""Edward""). father(""Sarah"", ""Edward"") daughter(""Edward"", ""Sarah"").",,father-mother,
2043,[Ronald] asked his mother [Kristen] where babies came from. [Kristen] told him they came from the stork. [Karen] and her daughter [Kristen] went shopping together last Monday and they bought new shoes for [Karen]'s kids. [Ronald] is a man with a son named [Edward]. [Ronald] sent his grandmother [Karen] flowers on her birhday.,"('Edward', 'Karen')",mother,"mother(""Ronald"", ""Kristen""). son(""Kristen"", ""Ronald""). daughter(""Karen"", ""Kristen""). mother(""Kristen"", ""Karen""). son(""Ronald"", ""Edward""). father(""Edward"", ""Ronald""). grandmother(""Ronald"", ""Karen""). grandson(""Karen"", ""Ronald"").",,son-grandmother,[]
2057,"[Karen] was so proud of her daughter [Kristen] for getting straight A's this semester. [Karen] is married to Thomas and when she was 24, the couple welcomed [Theresa] into the world. [Edward] and his sister [Theresa] are going for a walk. [Karen] treasures her son, [Edward]. She recently attended his high school graduation and it was the proudest day of her life.","('Kristen', 'Theresa')",sister,"daughter(""Karen"", ""Kristen""). mother(""Kristen"", ""Karen""). wife(""Karen"", ""Thomas""). husband(""Thomas"", ""Karen""). daughter(""Thomas"", ""Theresa""). daughter(""Karen"", ""Theresa""). father(""Theresa"", ""Thomas""). mother(""Theresa"", ""Karen""). sister(""Edward"", ""Theresa""). brother(""Theresa"", ""Edward"") son(""Karen"", ""Edward""). mother(""Edward"", ""Karen"").",,mother-daughter,
2087,"[Casey] was the nephew of a man named [Henry]. [Shirley] asked her son [Casey] to help her fix her television. [Shirley]'s daugher, [Constance], went swimming in the pool. Her older brother, [Casey], stood nearby and kept an eye on her.","('Shirley', 'Henry')",brother,"nephew(""Casey"", ""Henry""). uncle(""Henry"", ""Casey""). son(""Shirley"", ""Casey""). mother(""Casey"", ""Shirley""). daughter(""Shirley"", ""Constance""). mother(""Constance"", ""Shirley""). brother(""Constance"", ""Casey""). sister(""Casey"", ""Constance"").",,son-uncle,[]
2130,"[Carl] asked his father, [Eric], to help him with his math homework. [Eric] could n't, because he was lousy at math himself. [Michael] went to the store with his brother, [Carl]. [Carl] went to the wedding ceremony for his brother [Arthur]. [Arthur]'s dad [Eric] is the CEO of the company.","('Michael', 'Eric')",father,"father(""Carl"", ""Eric""). son(""Eric"", ""Carl""). brother(""Michael"", ""Carl""). brother(""Carl"", ""Michael""). brother(""Carl"", ""Arthur""). brother(""Arthur"", ""Carl""). father(""Arthur"", ""Eric""). son(""Eric"", ""Arthur""). CEO(""Eric"").",,brother-father,
2142,"[Kyle] said good-bye to his grandfather, [Michael]. [Michael]'s brother, [Carl], stood there silently during the exchange, a sad expression on his face. [Robin] is [Carl]'s mother. She takes very good care of him. [Robin] liked to play hide and seek with her son [Michael].","('Carl', 'Kyle')",grandfather,"grandfather(""Kyle"", ""Michael""). grandson(""Michael"", ""Kyle""). brother(""Michael"", ""Carl""). brother(""Carl"", ""Michael""). mother(""Carl"", ""Robin""). son(""Robin"", ""Carl""). mother(""Michael"", ""Robin""). son(""Robin"", ""Michael"").",,brother-grandfather,[]
2175,"[Kristen] was excited for today, its her daughter's, [Karen], spring break. She will finally get to see her. [Kristen] took her brother [Eric] to work Monday because his car was in the shop getting a tune up. [Karen] and her son, [Eric], decorated mugs at the craft fair together. [Vernon]'s sister [Kristen] asked him for some help planting her garden.","('Karen', 'Vernon')",son,"daughter(""Kristen"", ""Karen""), mother(""Karen"", ""Kristen""), brother(""Kristen"", ""Eric""), sister(""Eric"", ""Kristen""), son(""Karen"", ""Eric""), mother(""Eric"", ""Karen""), sister(""Vernon"", ""Kristen""), brother(""Kristen"", ""Vernon"")",,daughter-brother,
2203,"[Kyle] played cards with his son. His son's daughter [Constance] did not find it to be amusing. [Casey] was enjoying the delicious meal prepared by his mother [Shirley]. [Shirley]'s daughter, [Constance], asked her mom to read her a story. [Casey]'s sister, [Constance], was crying, so he told her a joke. She laughed, and felt better.","('Casey', 'Kyle')",grandfather,"son(""Kyle"", ""Unnamed Son""). father(""Unnamed Son"", ""Kyle""). daughter(""Unnamed Son"", ""Constance""). granddaughter(""Kyle"", ""Constance""). mother(""Casey"", ""Shirley""). son(""Shirley"", ""Casey""). daughter(""Shirley"", ""Constance""). sister(""Casey"", ""Constance""). brother(""Constance"", ""Casey"").",,sister-grandfather,[]
2227,"[Dorothy] was happy to spend the holidays with her grandfather, [Kyle]. [Karen] is the [Kyle]'s wife. [Edward] lives with his daughter [Dorothy] and has not seen his father, [Kyle] in over a year.","('Karen', 'Dorothy')",granddaughter,"grandfather(""Dorothy"", ""Kyle""). granddaughter(""Kyle"", ""Dorothy""). wife(""Kyle"", ""Karen""). husband(""Karen"", ""Kyle""). father(""Edward"", ""Kyle""). son(""Kyle"", ""Edward""). daughter(""Edward"", ""Dorothy"")",,husband-granddaughter,
2275,"Once [Kyle] arrived, he waived at his daughter Beth from the deck. Beth's daughter [Serena] saw him and smiled, happy to see him. [Serena] and her brother [Michael] are both adopted from the same family. [Michael] and his brother [Arthur] liked to eat pizza but [Arthur]'s sister [Serena] liked to eat tacos.","('Michael', 'Kyle')",grandfather,"daughter(""Kyle"", ""Beth""). father(""Beth"", ""Kyle""). granddaughter(""Kyle"", ""Serena""). grandfather(""Serena"", ""Kyle""). brother(""Serena"", ""Michael""). sister(""Michael"", ""Serena""). brother(""Michael"", ""Arthur""). brother(""Arthur"", ""Michael""). sister(""Arthur"", ""Serena"")",,sister-grandfather,
2297,[Dorothy] is the proud daughter of [Edward]. [Dorothy] also has a brother named [Ronald]. [Edward] got mad at his brother [Vernon] after he stole his pretzels. [Edward] was so proud that his son [Ronald] won the science fair!,"('Vernon', 'Ronald')",nephew,"daughter(""Edward"", ""Dorothy""), father(""Dorothy"", ""Edward""), brother(""Dorothy"", ""Ronald""), son(""Edward"", ""Ronald""), father(""Ronald"", ""Edward""), brother(""Edward"", ""Vernon""), uncle(""Ronald"", ""Vernon""), uncle(""Dorothy"", ""Vernon"").",,brother-son,[]
2306,"On Friday, [Karen] had lunch with her granddaughter, [Amanda]. It was [Amanda]'s birthday, so they celebrated by having cake. Afterwards, [Amanda] left to go see a movie with her brother, [Darnell]. [Karen] loves playing catch with her daughter's son. His name is [Darnell]. [Karen] fucked her husband, [Kyle]. long and dirty.","('Kyle', 'Darnell')",grandson,,,wife-grandson,
2319,"[Karen] liked to go to the park with her granddaughter [Constance]. [Vernon], [Constance]'s father, like to take her to the movies instead. [Shirley] and her daughter [Constance] went to visit [Shirley]'s mother [Karen] last Sunday.","('Vernon', 'Karen')",mother,"granddaughter(""Karen"", ""Constance""). grandmother(""Constance"", ""Karen""). father(""Constance"", ""Vernon""). daughter(""Shirley"", ""Constance""). father(""Constance"", ""Shirley""). daughter(""Karen"", ""Shirley""). mother(""Shirley"", ""Karen"").",,daughter-grandmother,[]
2350,"[Serena] us the daughter of [Eric] 'wife. [Arthur] was angry at his father, [Eric], for grounding him. [Barbara] saw how angry her brother, [Arthur], was and tried to calm him down. [Barbara] was shopping for a new jacket with her father [Eric].","('Barbara', 'Serena')",sister,"wife(""Eric"", ""Serena""). husband(""Serena"", ""Eric""). son(""Eric"", ""Arthur""). father(""Arthur"", ""Eric""). brother(""Barbara"", ""Arthur""). sister(""Arthur"", ""Barbara""). father(""Barbara"", ""Eric""). daughter(""Eric"", ""Barbara"").",,father-daughter,[]
