id,story,query,target,f_comb
1167,"[Karen] likes taking her son [Vernon] to school. [Henry] called his mother, [Karen], to tell her the good news of his engagement. [Karen] was sad she would n't be able to spend Christmas with her daughter, [Shirley]. [Shirley] had to stay home to care for her brother, [Henry].","('Henry', 'Vernon')",brother,mother-son
1168,"[Amanda] was playing hide-and-seek with her sister [Michelle]. [Henry] is the loving father of his wonderful child [Michelle]. [Michelle] loves [Henry]. [Amanda]'s father, [Henry], was so proud to see her graduate. [Henry]'s father, [Kyle], was glad to see him so happy.","('Amanda', 'Kyle')",grandfather,father-father
1169,"[Shirley] could n't wait to get off the plane to see her mother, [Raquel]. [Henry] loves his mother [Karen] very much. [Shirley] loves her brother [Henry]. [Karen] took her daughter [Shirley] to the store to find her some new boots for the cold winter weather.","('Raquel', 'Karen')",grandmother,mother-mother
1170,"[Kyle]'s wife, [Karen], has a son named [Edward]. [Shirley] is watching t.v. with her mother [Karen], and her brother [Edward] wants icecream.","('Kyle', 'Edward')",son,wife-son
1171,[Lisa] and her mother [Robin] went dress shopping on Saturday. [Edward] is a great uncle of [Lisa]. [Robin] told her son [Michael] to go outside and play. His sister [Lisa] went with him.,"('Robin', 'Edward')",brother,daughter-uncle
1172,"[Henry] told his daughter, [Amanda], to clean her room. [Amanda] complained to her sister, [Verdie], about having to clean her room. [Henry] was so proud of his daughter, [Verdie], graduating at the top of her class. [Verdie] called her brother, [Darnell], up to see how he was doing after surgery.","('Henry', 'Darnell')",son,daughter-brother
1173,[Michael] 'grandfather [Kyle] could n't figure how to turn the television on so [Michael] helped him. [Michael] bought a book for his father [Eric]. [Allen]'s grandfather [Kyle] and brother [Michael] all went to a hockey game after dinner.,"('Eric', 'Kyle')",father,son-grandfather
1174,"[Shirley] wanted her daughter, [Raquel], to go shopping with her. [Raquel] invited her sister, [Constance]. [Shirley] took her daughter, [Constance], out to dinner. [Karen], [Shirley]'s mother, joined them.","('Karen', 'Constance')",granddaughter,daughter-daughter
1175,"[Kristen]'s mother, [Karen], was eager to see [Kristen]'s brother, [Eric]. [Carl]'s dad, [Eric], recently took his mom, [Karen] into the nursing home.","('Karen', 'Carl')",grandson,son-son
1176,[Henry] enjoyed rough housing with his son [Barry]. [Henry]'s wife [Theresa] did n't approve of it though. [Karen] made cookies with her daughter [Theresa]. [Theresa]'s son [Barry] ate all of the cookies.,"('Karen', 'Barry')",grandson,daughter-son
1177,"[Casey] loves his sister, [Raquel] very much. [Raquel] is just like her sister, [Constance]. [Constance] was mad at her brother [Casey], because [Casey] had called her fat. [Casey] and his grandfather [Kyle] like to play chess together.","('Constance', 'Kyle')",grandfather,brother-grandfather
1178,"[Edward] asked his father, [Kyle] to help him build a birdhouse. [Henry] had taken his son [Barry] to the batting cages to practice for his big game. While watching his son, [Henry] could n't help but think about when he used to go to the batting cages with his father [Kyle]. [Edward] is happy that his brother, [Henry], is becoming successful.","('Kyle', 'Barry')",grandson,son-son
1179,"[Darnell] is in the sixth grade. He looks up to his sister [Verdie], who is in the seventh. [Henry]'s daughter, [Verdie], went to the city this weekend. She spent her time there visiting her grandfather, [Kyle], and had a wonderful time with him. [Darnell]'s father [Henry] is going to coach the team this year.","('Henry', 'Kyle')",father,daughter-grandfather
1180,"[Kristen] took her daughter, [Patty], out to High Tea yesterday afternoon. [Sarah] invited her sisters, [Dionne] and [Patty], to a party. [Dionne]'s sister, [Patty], recently started acting.","('Kristen', 'Dionne')",daughter,daughter-sister
1181,"[Kyle] 'daughter Kelly had a child that she gave up secretly as a teenager. Kelly's daughter [Sarah] contacted him last week and asked if they could meet for the first time. [Sarah] was talking about food with her sister [Dionne]. [Karen] and her husband [Kyle] had their 20th wedding anniversary Saturday. [Kyle] and his granddaughter [Dionne] went to the zoo, and had a great day looking at all the animals.","('Karen', 'Dionne')",granddaughter,husband-granddaughter
1182,"[Kristen] and her brother [Eric] went to the basketball game and had a great time. [Kristen] went to the arcade with her niece, [Marlene]. They had lots of fun playing together. [Eric] has been trying all day to reach his daughter [Marlene] on the phone. [Eric] and her sister [Theresa] decided to take a trip to Mexico together.","('Theresa', 'Kristen')",sister,brother-sister
1183,"[Darnell]'s sister, [Verdie], did n't have time to play with him. She was busy helping her grandmother [Karen] with the dishes. [Darnell] is Grandson of [Karen] and brother of [Michelle]","('Michelle', 'Karen')",grandmother,brother-grandmother
1184,[Barry]'s sister [Michelle] asked him for some help planting her garden. [Barry] and his son [Henry] are playing a father-son game of basketball. [Darnell] is waiting to go to dinner with his dad [Henry]. [Michelle]'s father [Henry] is taking her to a movie because she got good grades.,"('Darnell', 'Barry')",brother,father-son
1185,"[Margaret] could n't wait for the surprise birthday party that she was throwing for her brother [Casey] next weekend. [Margaret]'s mom, [Shirley], has recently taken art classes. [Shirley] called her brother, [Henry], up to see how he was doing after surgery. [Casey]'s mother, [Shirley], was worried about him. He had n't been eating.","('Casey', 'Henry')",uncle,mother-brother
1186,"[Barry] went to the park with his father, [Henry]. At the marriage of [Eddie] and [Verdie] the families all sat down to dinner. Before they ate [Verdie]'s father [Henry] gave an emotional toast. [Verdie] and her brother [Barry] were having a wonderful time at Disneyland.","('Eddie', 'Henry')",father-in-law,wife-father
1187,"[Karen] took her grandson [Carl] to school. [Carl]'s sister [Lisa] stayed home because she was suspended. [Kyle]'s wife, [Karen], took her granddaughter [Lisa] to the pottery studio to paint the vases they had made the week prior.","('Kyle', 'Lisa')",granddaughter,wife-granddaughter
1188,"[Vernon] and his wife, [Shirley], were out Christmas shopping when [Shirley] found the perfect teddy bear for her daughter, [Raquel]. [Raquel] got a big birthday cake from her aunt [Robin]. [Vernon] 'daughter, [Raquel], just made it into grad school.","('Vernon', 'Robin')",sister,daughter-aunt
1189,[Henry] looked up to his older brother named [Edward]. [Edward] was very strong and quite brave and that's the reason [Henry] admires him. [Kyle] favored his son [Edward] over his other son [Henry]. [Edward] tripped his brother [Eric] in the living room.,"('Henry', 'Eric')",brother,brother-brother
1190,"[Vernon] and his brother [Henry] fight a lot. Despite this, they still love each other very much. [Vernon] and her sister [Kristen] decided to take a trip to Mexico together. [Vernon] bought a new refrigerator for his mother [Karen]. [Henry] took his sister [Kristen] out to dinner for her birthday.","('Kristen', 'Karen')",mother,brother-mother
1191,"[Margaret] picked her sister, [Raquel], up from the mall. [Raquel] called her dad, [Vernon], when she got home to let him know where she was. [Vernon] took his daughter [Margaret] and son [Casey] to see a ball game.","('Casey', 'Margaret')",sister,father-daughter
1192,"[Marlene]'s mom, [Robin], has recently taken art classes. [Henry] likes to take his niece, [Marlene], for walks by the beach. [Eric] read his daughter [Marlene] a bedtime story. Soon she was fast asleep. [Henry] and his sister [Robin] went to brunch today at the new diner.","('Eric', 'Henry')",brother,daughter-uncle
1193,"[Verdie] asked her mom, [Theresa], to watch the dog while she was away. [Verdie]'s brother, [Barry], did it because he is better with dogs. [Theresa] read her son [Barry] a bedtime story every night. [Michelle] went with her brother [Barry] to the mall to buy some new candles.","('Theresa', 'Michelle')",daughter,son-sister
1194,"[Raquel] was sewing a sweater for her sister [Margaret]. [Vernon] took his daughter, [Margaret], to the Cavaliers game on Saturday. [Vernon], [Shirley]'s husband, asked her where his daughter [Raquel] was. [Shirley] said she did n't know.","('Shirley', 'Raquel')",daughter,husband-daughter
1195,"[Raquel] asked her grandfather [Kyle] how old he was. [Kyle] smiled, and told her he was only eighty-five. [Kyle] and his daughter [Shirley] went to the store. [Shirley]'s child, [Margaret] was already there waiting for them. [Raquel] and her mother [Shirley] attended a play at the theater.","('Margaret', 'Kyle')",grandfather,mother-father
1196,"[Karen] wrote a nice letter to her grandson [Carl]. [Karen] is [Kyle]'s first wife On Friday, [Karen] had lunch with her granddaughter, [Marlene]. It was [Marlene]'s birthday, so they celebrated by having cake. Afterwards, [Marlene] left to go see a movie with her brother, [Carl].","('Kyle', 'Carl')",grandson,wife-grandson
1197,[Edward]'s sister [Shirley] asked him for some help planting her garden. [Shirley] was talking about food with her sister [Theresa]. [Edward] enjoys the company of his sibling [Theresa]. [Shirley] bought a new video game for her son [Casey].,"('Casey', 'Theresa')",aunt,mother-sister
1198,"[Lisa] was celebrating her birthday with her mother [Robin]. [Carl] and his sister [Lisa] walked to school together every day, since they only lived two blocks away from the school. [Allen] took his mother, [Robin], and his sister, [Lisa], to the store.","('Carl', 'Robin')",mother,sister-mother
1199,[Constance] loved her mother [Shirley]. She was heartbroken when she heard [Shirley] had suddenly passed away. [Margaret] and her mother [Shirley] went to volunteer at the homeless shelter last weekend. [Constance] and her sister [Raquel] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Raquel] went shopping at the mall with her mother [Shirley],"('Raquel', 'Margaret')",sister,mother-daughter
1200,[Darnell] called for his wife [Christine] for dinner from the kitchen window. She was painting the deck outside with [Darnell]'s father [Henry]. [Henry] watched his son [Barry] play catch. [Barry] tossed the ball back and fourth with his brother [Darnell].,"('Henry', 'Christine')",daughter-in-law,son-wife
1201,"[Eric] was so proud that his son [Allen] won the science fair! [Eric] and his brother [Henry] went out for lunch. [Eric] had a burger, and [Henry] had a chicken sandwich. [Allen] and his uncle [Henry] are two of the best poker players in town. [Karen]'s biggest accomplishment is raising her son [Eric].","('Karen', 'Henry')",son,son-brother
1202,"[Karen], who is married to [Kyle], loves her granddaughter [Raquel]. [Kyle] bought his granddaughter [Raquel] a new car. [Raquel]'s sister [Constance] was so jealous.","('Kyle', 'Constance')",granddaughter,granddaughter-sister
1203,"[Henry] and his sister [Robin] went out for coffee. [Robin] asked her brother [Vernon] if he wanted them to bring him anything back, but he said no. [Vernon] treated his brother [Henry] to lunch. [Henry] brought along his daughter, [Verdie].","('Verdie', 'Vernon')",uncle,father-brother
1204,"[Eric] brought his daughter [Lisa] to the park. Later, they would be meeting up with [Eric]'s mother, [Karen]. [Eric] and his brother [Vernon] went out for lunch. [Eric] had a burger, and [Vernon] had a chicken sandwich. [Karen] went shopping with her son. His name is [Vernon].","('Lisa', 'Karen')",grandmother,father-mother
1205,[Michelle] is looking forward to lunch with her husband [John] and her father [Henry]. [Verdie] played golf with her sister [Michelle] and her father [Henry] last weekend.,"('Henry', 'John')",son-in-law,daughter-husband
1206,[Kyle] went golfing with his son [Vernon]. [Vernon] showed off new school pictures of his daughter [Margaret] [Vernon] is taking his son [Casey] out for coffee. [Casey] enjoys the company of his sibling [Margaret].,"('Kyle', 'Margaret')",granddaughter,son-daughter
1207,"[Henry] asked his mother, [Karen], to bake him a cake. She told him to wait for his birthday. [Vernon]'s mother, [Karen], has no time for him anymore. She's too busy with her new son, [Eric]. [Vernon] went to the store with his brother, [Henry].","('Vernon', 'Eric')",brother,mother-son
1208,"[Robin] is a woman with a nephew named [Barry]. [Theresa] has a good relationship with her sister [Robin]. [Robin] and her son [Allen] enjoy spending time together. [Barry] loved his mother, [Theresa].","('Theresa', 'Allen')",nephew,sister-son
1209,"[Theresa] liked to play hide and seek with her son [Barry]. [Barry] and his sister [Verdie] were twins. Still, they did n't look very much alike. [Theresa] asked her husband [Henry] for some cash to go school shopping with her daughter [Verdie].","('Henry', 'Verdie')",daughter,wife-daughter
1210,"[Patty] invited her sisters, [Dorothy] and [Sarah], to a party. [Kyle] made a cake for his granddaughter [Dorothy]. [Dorothy]'s brother [Sarah] was jealous he could n't have any cake.","('Sarah', 'Kyle')",grandfather,sister-grandfather
1211,"[Vernon] went to the mall with his daughter [Margaret]. [Margaret]'s brother [Constance] stayed home because he hates the mall. [Casey] went to the park with his sister, [Margaret], and his father, [Vernon]. The three of them had a wonderful time there.","('Constance', 'Vernon')",father,sister-father
1212,[Karen] took her granddaughter [Lisa] to the mall. [Lisa]'s dad [Eric] was happy to have the house to himself. [Karen] fixed a big dinner on Sunday and invited her grandson [Carl]. He came and stayed a few hours. [Carl] and her sister [Lisa] decided to take a trip to Mexico together.,"('Eric', 'Karen')",mother,daughter-grandmother
1213,[Darnell]'s grandfather [Kyle] took him and his sister [Michelle] to the beach to play in the tide pools. [Verdie] needed to go to the store. [Verdie] asked her sister [Michelle] for a ride. [Verdie] gave her brother [Darnell] a new sweater for Christmas.,"('Michelle', 'Kyle')",grandfather,brother-grandfather
1214,"[Kyle] took his daughter [Theresa] out for lunch one day. [Theresa] asked if she could bring her son [Darnell] and [Kyle] said okay. [Barry]'s brother [Darnell] came over to help him renovate the kitchen. [Theresa], [Barry]'s mother, brought over a home-made lunch.","('Kyle', 'Darnell')",grandson,daughter-son
1215,"[Vernon] was having a cookout one day, and invited his sister [Robin]. [Robin]'s brother [Edward] drove them to the cookout. [Vernon] took his niece [Marlene] to the park to walk her dog. [Robin] and her daughter [Marlene] went out to dinner.","('Edward', 'Vernon')",brother,sister-brother
1216,"[Darnell]'s sister, [Michelle], bought movie tickets at a discount rate. [Barry] and his sister [Michelle] love going to the movies. Sometime [Barry] invites his grandmother [Karen] [Barry] helped his brother, [Darnell], study for the chemistry exam.","('Karen', 'Michelle')",granddaughter,grandson-sister
1217,"[Vernon] always enjoyed playing with his sister, [Theresa], when they were growing up. [Margaret] took a photo of her father [Vernon] for the family album. [Margaret] and her sister [Raquel] were fighting. They never fight long though, and they made up the next day. [Raquel] asked her father [Vernon] if he could beat up a bully at school for her. [Vernon] told her she had to learn to fight her own battles, but he did teach her how to throw a punch.","('Raquel', 'Theresa')",aunt,father-sister
1218,"[Constance] always thought that her grandmother [Karen] was a good woman. [Constance] had a conversation with her sister [Margaret] about how much she loved her. [Raquel] invited her sisters, [Constance] and [Margaret], to a party.","('Margaret', 'Karen')",grandmother,sister-grandmother
1219,"[Kyle] was very happy when his daughter Alice gave birth to [Marlene]. [Karen] and her husband, [Kyle], went to visit [Carl] at college. [Kyle] could n't wait to see how his grandson was doing in his first year. [Carl] and her sister [Marlene] decided to take a trip to Mexico together.","('Karen', 'Carl')",grandson,husband-grandson
1220,"[Karen] and her daughter [Kristen] went out for ice cream. [Karen] got a cone and [Kristen] got a sundae. [Karen] is the mother of a son named [Eric]. [Eric]'s sister, [Theresa], did n't know how deal with drama at work. She asked her sister, [Kristen] for advice","('Eric', 'Theresa')",sister,sister-sister
1221,"[Verdie] was furious with [Darnell], her brother, since he cancelled the family trip. [Verdie]'s Mom, [Theresa], was heartbroken the trip would n't take place. [Michelle] was playing in the sandbox with her brother [Darnell]. [Michelle] and her sister [Verdie] have never been close. Still, they love each other because they are family.","('Theresa', 'Darnell')",son,daughter-brother
1222,"[Henry] and his wife, [Theresa], were having an argument. [Henry] said she spoiled her son, [Darnell], but [Theresa] asserted she was only being a loving mother. [Henry] was delighted to watch his son [Darnell] steal third base in the Championship baseball game. [Kristen] loves her brother [Henry].","('Kristen', 'Darnell')",nephew,brother-son
1223,[Vernon] took his brother [Henry] out to get drinks after a long work week. [Vernon] and his sister [Robin] went to brunch today at the new diner. [Henry] is taking his daughter [Verdie] out for lunch at her favorite restaurant. [Robin] was playing in the sandbox with her brother [Henry].,"('Robin', 'Verdie')",niece,brother-daughter
1224,"[Kyle] liked to play peek a boo with his granddaughter [Lisa]. [Lisa] and her brother [Allen] were having a wonderful time at Disneyland. [Lisa] loves her mother, [Robin]. [Robin]'s son, [Allen], feels the same way.","('Kyle', 'Allen')",grandson,granddaughter-brother
1225,"[Edward] told his daughter [Dionne] that her grandfather, [Kyle], wanted to speak to her. [Dionne] called [Kyle] up to see what he wanted. [Edward] and his father [Kyle] played video games all day last Saturday. [Edward]'s wife [Kristen] is happy to learn that [Edward] will be coming home next week.","('Kristen', 'Kyle')",father-in-law,husband-father
1226,[Edward] and his wife [Kristen] went to the beach to enjoy some nice weather. [Edward] insisted that his daughter [Sarah] come with to get some time outside. [Kristen] and her sister [Robin] are the only children in their family. [Kristen] and her daughter [Sarah] are entering the competition together.,"('Robin', 'Sarah')",niece,sister-daughter
1227,[Henry] and his father [Kyle] played video games all day last Saturday. [Kyle] is the proud father of the lovely [Edward] [Henry] and his son [Darnell] went to the park to look for different kinds of birds. [Edward] is the great brother of [Henry].,"('Darnell', 'Kyle')",grandfather,father-father
1228,"[Barry] loves his mother very much. Her name is [Theresa]. [Theresa], [Darnell] mother, likes to take him to eat ice cream on Sundays. [Darnell] went shopping with his wife [Christine]. [Darnell] went to the baseball game with his brother [Barry].","('Christine', 'Theresa')",mother-in-law,husband-mother
1229,"[Constance] called [Raquel], her sister, to see if she wanted to go out to eat. [Shirley] is ready to dye Easter eggs with [Constance]! [Raquel] and her mother [Shirley] planned a surprise birthday party for [Raquel]'s husband [Drew].","('Drew', 'Shirley')",mother-in-law,wife-mother
1230,"[Allen] had always loved visits from his Aunt [Theresa], as she was funny and had an outgoing personality. [Eric] is a hardworking man who puts food on the table for his family every night working about 10 hours. [Robin], [Eric] wife is very lazy and does n't provide much for the family. She hires a nanny to take care of [Eric] and hers kids. [Eric] is thinking about getting a divorce and getting her away from his kids as it is a bad environment. The divorce eventually comes and [Eric] is a much happier man and is thankful his wife is n't there to ruin the good thing they have once again. [Robin] liked to play hide and seek with her son [Allen]. [Eric] took his son [Allen] for boxing lessons. He felt the boy needed to toughen up.","('Robin', 'Theresa')",sister,son-aunt
1231,"[Lisa] was mad at her brother [Carl], because [Carl] had called her fat. [Carl] has a sister that picks on him. Her name is [Marlene]. [Eric] loves cooking with his daughter. Her name is [Marlene]. [Eric] and his son [Carl] went to the skating rink.","('Lisa', 'Eric')",father,brother-father
1232,"[Shirley]'s daughter Paula went to law school. Paula's brother [Casey] ended up working in a fast food restaurant. [Casey] bought his sister [Raquel] a video game for her birthday. She said it was her favorite game and gave him a big hug. [Shirley] and her father, [Kyle], went to the park. [Shirley]'s daughter, [Raquel], came too.","('Kyle', 'Raquel')",granddaughter,daughter-daughter
1233,"[Casey] asked his mother [Shirley] where babies came from. [Shirley] told him they came from the stork. [Edward]'s sister [Shirley] asked him for some help planting her garden. [Edward] is the drunken, deadbeat uncle of [Casey], who is a successful business entrepreneur. [Casey] resents [Edward] for ruining last Christmas with his drunken nonsense. [Vernon] was delighted to watch his son [Casey] steal third base in the Championship baseball game.","('Vernon', 'Edward')",brother,son-uncle
1234,[Karen] picked up her daughter [Shirley] from school early. [Margaret] asked her mother [Shirley] if she could help her with college homework. [Shirley] was busy so she asked [Margaret] to ask her sister [Raquel] instead. [Shirley] took her daughter [Raquel] to the store to find her some new boots for the cold winter weather.,"('Raquel', 'Karen')",grandmother,mother-mother
1235,"[Shirley] took her daughter, [Margaret], out to High Tea yesterday afternoon. [Shirley] was surprised when her husband, [Vernon], and her son, [Casey], came back early from their trip to Spain. [Margaret] and her brother [Casey] were having a wonderful time at Disneyland.","('Vernon', 'Casey')",son,wife-son
1236,"[Karen] and her husband, [Kyle], went for a walk. [Henry], [Kyle]'s son, tagged along. [Kyle] took his son [Edward] to soccer practice. [Edward] called his brother [Henry] on Friday because it was his birthday.","('Karen', 'Henry')",son,husband-son
1237,[Barry] and his brother [Darnell] are excited to go fishing this weekend. [Karen] is letting her grandson [Darnell] borrow her fishing rod. [Barry] brought home straight A's to his father [Henry]. [Darnell] brought home straight C's to his father [Henry].,"('Karen', 'Barry')",grandson,grandson-brother
1238,"[Barry] loved his mother, [Theresa]. [Theresa] ate dinner with her daughter [Verdie]. [Verdie]'s brother [Barry] was running late and made it in time for dessert. [Kyle] loves spending time with his grandson [Barry]. [Barry] and [Kyle] go the the park a lot.","('Theresa', 'Kyle')",father,son-grandfather
1239,[Eric] was so proud that his son [Allen] won the science fair! [Karen] baked a special pie for her grandson [Allen]. [Barbara] is the proud daughter of [Eric]. [Barbara] also has a brother named [Allen].,"('Eric', 'Karen')",mother,son-grandmother
1240,"[Henry] took his son [Barry] to the zoo yesterday because he took his daughter [Michelle] last week [Barry] often goes out for lunch with his sister, [Verdie]. [Verdie] misses her father [Henry] when she is at school.","('Barry', 'Michelle')",sister,father-daughter
1241,[Marlene] and her mother [Robin] went to volunteer at the homeless shelter last weekend. [Lisa] loved her mother [Robin]. She was heartbroken when she heard [Robin] had suddenly passed away. [Lisa] is taking a trip to see her sister [Marlene]. [Marlene] loves her grandfather [Kyle] very much,"('Lisa', 'Kyle')",grandfather,sister-grandfather
1242,"[Henry] and his daughter [Michelle] went to Disney World together. [Michelle] went to the opera with her grandfather [Kyle]. [Kyle] took his son [Henry] to school this morning because he missed the bus. [Michelle] was mad at her brother [Barry], because [Barry] had called her fat.","('Kyle', 'Barry')",grandson,granddaughter-brother
1243,"[Karen] went to visit her grandmother, [Dionne], in the retirement home. [Edward]'s mother, [Karen], felt upset that [Edward] did not visit her much anymore. [Karen] did not realize that [Edward] was now very busy taking care of his own daughter [Patty]. [Edward] and his daughter [Dionne] went looking at apartments. [Dionne] was moving out soon, and wanted her dad's advice.","('Patty', 'Karen')",grandmother,father-mother
1244,[Michelle] and [John] had their 10 year marriage anniversary coming up. [Michelle]'s Father [Henry] decided to throw them a surprise party. [Verdie] took her younger sister [Michelle] to the carnival last weekend. [Verdie]'s father is named [Henry].,"('John', 'Henry')",father-in-law,wife-father
1245,[Robin] went shopping with her daughter [Lisa]. [Lisa]'s sister [Marlene] was too busy to join them. [Michael] and his wife [Marlene] decided to visit [Marlene]'s mother [Robin] on Sunday.,"('Michael', 'Robin')",mother-in-law,wife-mother
1246,"[Karen]'s son, [Vernon], was busy with school activities and forgot to meet his sister. Now that the weekend was here, [Vernon] kept his promise to his daughter [Constance] and took her out shopping. [Vernon] is taking his son [Andrew] out for coffee. [Andrew]'s sister, [Constance], participated in the dance contest.","('Karen', 'Constance')",granddaughter,son-daughter
1247,[Karen] loves playing catch with her daughter's son. His name is [Barry]. [Karen] brought her husband [Kyle] and her granddaughter [Verdie] to the new local bakery that opened down the street from her house. [Barry] did n't get along very well with his sister [Verdie] for some reason.,"('Kyle', 'Verdie')",granddaughter,wife-granddaughter
1248,"[Edward] and his brother [Vernon] were playing tag in the park. [Robin] was playing in the sandbox with her brother [Vernon]. [Vernon] is going to the arcade with his sister, [Theresa]. [Robin] and her brother [Edward] are both adopted from the same family.","('Edward', 'Theresa')",sister,brother-sister
1249,"[Casey] and his sister [Raquel] love to play video games. [Shirley] was so excited to learn that her son [Casey] got accepted into college. [Shirley] took her daughter [Constance] to see her very first ballet performance. [Shirley]'s daughter, [Raquel], just graduated high school.","('Constance', 'Raquel')",sister,mother-daughter
1250,"[Kristen] ate dinner with her daughter [Dionne]. [Dionne]'s brother [Lonnie] was running late and made it in time for dessert. [Kristen] is staying with her son, [Lonnie] while her husband, [Edward] is out if town.","('Edward', 'Lonnie')",son,wife-son
1251,"[Lonnie] took his grandfather [Kyle] to lunch at a local diner. [Kyle]'s son, [Edward], had been misbehaving, so [Kyle] had to spank him. [Karen] went to dinner with her husband [Kyle]. [Lonnie] and his father [Edward] went jogging by the lake.","('Karen', 'Lonnie')",grandson,husband-grandson
1252,[Henry] always looked up to his brother [Vernon]. [Eric] took her daughter [Lisa] for ice cream. [Lisa]'s uncle [Henry] was looking forward to visiting for the summer. [Henry] took his brother [Eric] to get lunch at a local diner.,"('Eric', 'Vernon')",brother,brother-brother
1253,"[Verdie] needed to go to the store. [Verdie] asked her sister [Michelle] for a ride. [Henry] was present in the delivery room when his daughter [Verdie] was born, but when his daughter [Michelle] was born he was too sick. [Theresa]'s daughter, [Michelle], asked her mom to read her a story.","('Theresa', 'Verdie')",daughter,daughter-sister
1254,"[Verdie] took her mother, [Theresa], out for lunch. [Verdie] asked her brother [Barry] if he wanted to go to the skating rink. [Barry] saw his younger sister [Michelle] crying because she wanted to skate too, but could n't with her broken leg. [Verdie] called [Michelle], her sister, to see if she wanted to go out to eat.","('Michelle', 'Theresa')",mother,sister-mother
1255,"[Henry] and his son [Darnell] went to the park to look for different kinds of birds. [Henry] and his son [Barry] went to the park to look for different kinds of birds. [Darnell] and his wife [Christine] decided not to have kids. [Darnell] helped his brother, [Barry], study for the chemistry exam.","('Christine', 'Henry')",father-in-law,husband-father
1256,"[Vernon] and his son [Casey] were playing football in the backyard. [Shirley], [Vernon]'s wife, called out for them to be careful. [Raquel] was mad at her brother [Casey], because [Casey] had called her fat. [Vernon] read his daughter [Raquel] a bedtime story. Soon she was fast asleep.","('Shirley', 'Casey')",son,husband-son
1257,"[Kyle] took his son [Henry] out for ice cream. [Kyle]'s son [Edward], was still in school. [Karen] was very proud of her son, [Edward]. She did n't feel the same way about his brother, [Henry], she thought he was a disgrace.","('Karen', 'Henry')",son,son-brother
1258,"[Edward] took his daughter, [Dorothy], to the father daughter dance at church. [Dionne] was playing hide-and-seek with her sister [Dorothy]. [Edward] read his daughter [Dionne] a bedtime story. Soon she was fast asleep. [Robin] was more than happy to help her sister by watching her child [Dorothy].","('Edward', 'Robin')",sister,daughter-aunt
1259,"[Darnell] has a brother who is younger than him. The brother has a sister whose name is [Verdie]. [Barry] was worried that his grandmother [Karen] was sick, so he asked his brother [Darnell] to check on her. [Barry] and her sister [Verdie] decided to take a trip to Mexico together.","('Darnell', 'Karen')",grandmother,brother-grandmother
1260,[Karen] is so happy to go on vacation her her husband. His name is [Kyle]. [Karen] asked her son [Vernon] to help her fix her television. [Vernon] went to the game with his son [Andrew] and his father [Kyle],"('Kyle', 'Andrew')",grandson,son-son
1261,"[Karen] and her daughter [Shirley] are entering the competition together. [Karen]'s mom, [Kristen] got ready for the party. [Kristen] was swimming with her sister [Shirley]. [Kristen]'s brother [Eric] was tanning.","('Eric', 'Shirley')",sister,sister-sister
1262,"[Theresa] was celebrating her birthday with her mother [Karen]. [Kyle] went to pick up his son [Edward] from the baseball practice. [Karen]'s husband, [Kyle], just went on tour. [Karen] drove her son [Edward] to his soccer game.","('Theresa', 'Edward')",brother,mother-son
1263,"[Darnell] and his brother [Barry] wanted to go to the arcade. [Barry] asked his mother, [Theresa], if they could, and she said yes. [Theresa] was so proud of her daughter [Verdie] for getting straight A's this semester. [Barry] and his sister [Verdie] walked to school together every day, since they only lived two blocks away from the school.","('Darnell', 'Theresa')",mother,brother-mother
1264,"[Eric] and his sister [Shirley] went to brunch today at the new diner. [Edward] took his sister [Shirley] out to dinner for her birthday. [Eric] and his brother [Edward] went to the carnival. [Edward] wanted to ride the Ferris wheel, but [Eric] insisted they go on the bumper cars first. [Lisa] invited her father [Eric] to her high school father daughter dance.","('Shirley', 'Lisa')",niece,brother-daughter
1265,[Marlene] and her sister [Lisa] were playing outside. [Marlene]'s mother [Robin] called for her to come inside. [Robin] is the proud mother of [Lisa]. [Robin] has a sister named [Shirley] who she is very close to.,"('Lisa', 'Shirley')",aunt,mother-sister
1266,"[Verdie]'s brother [Darnell] was going to be the star in the new show. [Michelle] called [Verdie], her sister, to see if she wanted to go out to eat. [Michelle] loves her brother [Darnell]. [Verdie] could n't wait for the surprise birthday party that she was throwing for her brother [Barry] next weekend.","('Barry', 'Darnell')",brother,sister-brother
1267,[Kyle] took his daughter [Theresa] out for lunch one day. [Theresa] asked if she could bring her son [Darnell] and [Kyle] said okay. [Darnell] and his brother [Barry] are looking for a good gift for [Barry]'s mother [Theresa].,"('Kyle', 'Darnell')",grandson,daughter-son
1268,"[Karen] went to visit her grandmother, [Michelle], in the retirement home. [Michelle] was celebrating her birthday with her mother [Theresa]. [Henry] and his daughter [Michelle] spent Father's Day together. [Michelle] took her dad out to a sports bar, and they had a great time watching football and drinking beer there. [Karen] took her daughter [Theresa] to school during the cold winter morning.","('Henry', 'Karen')",mother,daughter-grandmother
1269,"[Theresa] and her sister, [Robin], went to McDonald's. [Michelle], [Theresa]'s daughter, came too, and asked if she could get a sundae. [Barry] and his sister [Michelle] were twins. Still, they did n't look very much alike. [Theresa]'s daughter Paula went to law school. Paula's brother [Barry] ended up working in a fast food restaurant.","('Robin', 'Michelle')",niece,sister-daughter
