id,story,query,target,parse,gender,f_comb
1166,[Allen] took his mother [Robin] out for brunch on Mother's day. [Allen]'s wife [Serena] joined them. [Carl] love his brother [Allen]. They are always playing together. [Robin] loves playing chess her son. His name is [Carl].,"('Serena', 'Robin')",mother-in-law,"mother(""Allen"", ""Robin""). son(""Robin"", ""Allen""). wife(""Allen"", ""Serena""). husband(""Serena"", ""Allen""). brother(""Carl"", ""Allen""). brother(""Allen"", ""Carl""). son(""Robin"", ""Carl""). mother(""Carl"", ""Robin"").",,husband-mother
1169,"[Shirley] could n't wait to get off the plane to see her mother, [Raquel]. [Henry] loves his mother [Karen] very much. [Shirley] loves her brother [Henry]. [Karen] took her daughter [Shirley] to the store to find her some new boots for the cold winter weather.","('Raquel', 'Karen')",grandmother,"mother(""Shirley"", ""Raquel""). daughter(""Raquel"", ""Shirley""). mother(""Henry"", ""Karen""). son(""Karen"", ""Henry""). brother(""Shirley"", ""Henry""). sister(""Henry"", ""Shirley""). daughter(""Karen"", ""Shirley""). mother(""Shirley"", ""Karen"").",,mother-mother
1171,[Lisa] and her mother [Robin] went dress shopping on Saturday. [Edward] is a great uncle of [Lisa]. [Robin] told her son [Michael] to go outside and play. His sister [Lisa] went with him.,"('Robin', 'Edward')",brother,"mother(""Lisa"", ""Robin""). daughter(""Robin"", ""Lisa""). great_uncle(""Lisa"", ""Edward""). great_niece(""Edward"", ""Lisa""). son(""Robin"", ""Michael""). mother(""Michael"", ""Robin""). sister(""Michael"", ""Lisa""). brother(""Lisa"", ""Michael"").",,daughter-uncle
1205,[Michelle] is looking forward to lunch with her husband [John] and her father [Henry]. [Verdie] played golf with her sister [Michelle] and her father [Henry] last weekend.,"('Henry', 'John')",son-in-law,"husband(""Michelle"", ""John""). wife(""John"", ""Michelle""). father(""Michelle"", ""Henry""). daughter(""Henry"", ""Michelle""). sister(""Verdie"", ""Michelle""). sister(""Michelle"", ""Verdie""). father(""Verdie"", ""Henry""). daughter(""Henry"", ""Verdie"").",,daughter-husband
1211,"[Vernon] went to the mall with his daughter [Margaret]. [Margaret]'s brother [Constance] stayed home because he hates the mall. [Casey] went to the park with his sister, [Margaret], and his father, [Vernon]. The three of them had a wonderful time there.","('Constance', 'Vernon')",father,"daughter(""Vernon"", ""Margaret""). father(""Margaret"", ""Vernon""). brother(""Margaret"", ""Constance""). sister(""Casey"", ""Margaret""). brother(""Margaret"", ""Casey""). father(""Casey"", ""Vernon""). son(""Vernon"", ""Casey"").",,sister-father
1223,[Vernon] took his brother [Henry] out to get drinks after a long work week. [Vernon] and his sister [Robin] went to brunch today at the new diner. [Henry] is taking his daughter [Verdie] out for lunch at her favorite restaurant. [Robin] was playing in the sandbox with her brother [Henry].,"('Robin', 'Verdie')",niece,"brother(""Vernon"", ""Henry""). brother(""Henry"", ""Vernon""). sister(""Vernon"", ""Robin""). sister(""Robin"", ""Vernon""). daughter(""Henry"", ""Verdie""). father(""Verdie"", ""Henry""). brother(""Robin"", ""Henry""). sister(""Henry"", ""Robin"").",,brother-daughter
1226,[Edward] and his wife [Kristen] went to the beach to enjoy some nice weather. [Edward] insisted that his daughter [Sarah] come with to get some time outside. [Kristen] and her sister [Robin] are the only children in their family. [Kristen] and her daughter [Sarah] are entering the competition together.,"('Robin', 'Sarah')",niece,"wife(""Edward"", ""Kristen""). husband(""Kristen"", ""Edward""). daughter(""Edward"", ""Sarah""). father(""Sarah"", ""Edward""). sister(""Kristen"", ""Robin""). daughter(""Kristen"", ""Sarah""). mother(""Sarah"", ""Kristen"").",,sister-daughter
1228,"[Barry] loves his mother very much. Her name is [Theresa]. [Theresa], [Darnell] mother, likes to take him to eat ice cream on Sundays. [Darnell] went shopping with his wife [Christine]. [Darnell] went to the baseball game with his brother [Barry].","('Christine', 'Theresa')",mother-in-law,"mother(""Barry"", ""Theresa""). son(""Theresa"", ""Barry""). mother(""Darnell"", ""Theresa""). son(""Theresa"", ""Darnell""). wife(""Darnell"", ""Christine""). husband(""Christine"", ""Darnell""). brother(""Darnell"", ""Barry""). brother(""Barry"", ""Darnell"").",,husband-mother
1229,"[Constance] called [Raquel], her sister, to see if she wanted to go out to eat. [Shirley] is ready to dye Easter eggs with [Constance]! [Raquel] and her mother [Shirley] planned a surprise birthday party for [Raquel]'s husband [Drew].","('Drew', 'Shirley')",mother-in-law,"sister(""Constance"", ""Raquel""). sister(""Raquel"", ""Constance""). mother(""Raquel"", ""Shirley""). daughter(""Shirley"", ""Raquel""). mother(""Constance"", ""Shirley""). daughter(""Shirley"", ""Constance""). husband(""Raquel"", ""Drew""). wife(""Drew"", ""Raquel"").",,wife-mother
1244,[Michelle] and [John] had their 10 year marriage anniversary coming up. [Michelle]'s Father [Henry] decided to throw them a surprise party. [Verdie] took her younger sister [Michelle] to the carnival last weekend. [Verdie]'s father is named [Henry].,"('John', 'Henry')",father-in-law,"wife(""Michelle"", ""John""). husband(""John"", ""Michelle""). father(""Michelle"", ""Henry""). daughter(""Henry"", ""Michelle""). sister(""Verdie"", ""Michelle""). sister(""Michelle"", ""Verdie""). father(""Verdie"", ""Henry""). daughter(""Henry"", ""Verdie"").",,wife-father
1245,[Robin] went shopping with her daughter [Lisa]. [Lisa]'s sister [Marlene] was too busy to join them. [Michael] and his wife [Marlene] decided to visit [Marlene]'s mother [Robin] on Sunday.,"('Michael', 'Robin')",mother-in-law,"daughter(""Robin"", ""Lisa""). mother(""Lisa"", ""Robin""). sister(""Lisa"", ""Marlene""). sister(""Marlene"", ""Lisa""). wife(""Michael"", ""Marlene""). husband(""Marlene"", ""Michael""). mother(""Marlene"", ""Robin"").",,wife-mother
1255,"[Henry] and his son [Darnell] went to the park to look for different kinds of birds. [Henry] and his son [Barry] went to the park to look for different kinds of birds. [Darnell] and his wife [Christine] decided not to have kids. [Darnell] helped his brother, [Barry], study for the chemistry exam.","('Christine', 'Henry')",father-in-law,"son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). son(""Henry"", ""Barry""). father(""Barry"", ""Henry""). wife(""Darnell"", ""Christine""). husband(""Christine"", ""Darnell""). brother(""Darnell"", ""Barry""). brother(""Barry"", ""Darnell"").",,husband-father
1258,"[Edward] took his daughter, [Dorothy], to the father daughter dance at church. [Dionne] was playing hide-and-seek with her sister [Dorothy]. [Edward] read his daughter [Dionne] a bedtime story. Soon she was fast asleep. [Robin] was more than happy to help her sister by watching her child [Dorothy].","('Edward', 'Robin')",sister,"daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward""). sister(""Dionne"", ""Dorothy""). sister(""Dorothy"", ""Dorothy""). daughter(""Edward"", ""Dionne""). father(""Dionne"", ""Edward""). child(""Robin"", ""Dorothy""), mother(""Dorothy"", ""Robin"").",,daughter-aunt
1261,"[Karen] and her daughter [Shirley] are entering the competition together. [Karen]'s mom, [Kristen] got ready for the party. [Kristen] was swimming with her sister [Shirley]. [Kristen]'s brother [Eric] was tanning.","('Eric', 'Shirley')",sister,"daughter(""Karen"", ""Shirley""). mother(""Shirley"", ""Karen""). mother(""Karen"", ""Kristen""). daughter(""Kristen"", ""Karen""). sister(""Kristen"", ""Shirley""). brother(""Kristen"", ""Eric"").",,sister-sister
1264,"[Eric] and his sister [Shirley] went to brunch today at the new diner. [Edward] took his sister [Shirley] out to dinner for her birthday. [Eric] and his brother [Edward] went to the carnival. [Edward] wanted to ride the Ferris wheel, but [Eric] insisted they go on the bumper cars first. [Lisa] invited her father [Eric] to her high school father daughter dance.","('Shirley', 'Lisa')",niece,"sister(""Eric"", ""Shirley""). brother(""Eric"", ""Edward""). sister(""Edward"", ""Shirley""). brother(""Edward"", ""Eric""). father(""Lisa"", ""Eric""). daughter(""Eric"", ""Lisa"").",,brother-daughter
1266,"[Verdie]'s brother [Darnell] was going to be the star in the new show. [Michelle] called [Verdie], her sister, to see if she wanted to go out to eat. [Michelle] loves her brother [Darnell]. [Verdie] could n't wait for the surprise birthday party that she was throwing for her brother [Barry] next weekend.","('Barry', 'Darnell')",brother,"brother(""Verdie"", ""Darnell""). sister(""Verdie"", ""Michelle""). brother(""Michelle"", ""Darnell""). brother(""Verdie"", ""Barry"").",,sister-brother
1269,"[Theresa] and her sister, [Robin], went to McDonald's. [Michelle], [Theresa]'s daughter, came too, and asked if she could get a sundae. [Barry] and his sister [Michelle] were twins. Still, they did n't look very much alike. [Theresa]'s daughter Paula went to law school. Paula's brother [Barry] ended up working in a fast food restaurant.","('Robin', 'Michelle')",niece,"sister(""Theresa"", ""Robin""). sister(""Robin"", ""Theresa""). daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). brother(""Michelle"", ""Barry""). sister(""Barry"", ""Michelle""). daughter(""Theresa"", ""Paula""). mother(""Paula"", ""Theresa""). brother(""Paula"", ""Barry""). sister(""Barry"", ""Paula"").",,sister-daughter
1276,"[Vernon] is a sibling of [Eric]. [Eric] always enjoyed playing with his sister, [Kristen], when they were growing up. [Vernon] took his daughter [Constance] to the movies [Kristen] and her sister [Vernon] went to the ice cream shop.","('Constance', 'Kristen')",aunt,"sibling(""Vernon"", ""Eric""). brother(""Eric"", ""Vernon""). sister(""Eric"", ""Kristen""). brother(""Kristen"", ""Eric""). daughter(""Vernon"", ""Constance""). father(""Constance"", ""Vernon""). sister(""Kristen"", ""Verdie""). sister(""Verdie"", ""Kristen"").",,father-sister
1277,"[Dorothy] and [Patty] got into a fight as sisters sometimes do. [Patty]'s father [Edward] yelled at them to behave. [Dorothy] and her husband [Benny], often argue. [Edward] is concerned about his daughter, and often tells [Dorothy] to consider a divorce.","('Edward', 'Benny')",son-in-law,"sister(""Dorothy"", ""Patty""). sister(""Patty"", ""Dorothy""). father(""Patty"", ""Edward""). daughter(""Edward"", ""Patty""). husband(""Dorothy"", ""Benny""). wife(""Benny"", ""Dorothy""). daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward"").",,daughter-husband
1295,[Andrew] took his smoking hot wife [Margaret] to pound town [Shirley] made a pizza for her son [Casey] and his brother [Andrew]. [Shirley] cooked her son [Andrew] his favorite meal yesterday because it was his birthday.,"('Margaret', 'Shirley')",mother-in-law,"wife(""Andrew"", ""Margaret""). husband(""Margaret"", ""Andrew""). son(""Shirley"", ""Casey""). mother(""Casey"", ""Shirley""). son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley""). brother(""Casey"", ""Andrew""). brother(""Andrew"", ""Casey"").",,husband-mother
1308,"[Eric] liked to play games with his sister, [Theresa]. The hostess called out [Kyle]'s name and [Theresa] told her father their table was ready. [Kyle] went to the basketball game with his son [Eric] and [Eric]'s wife [Robin].","('Robin', 'Kyle')",father-in-law,"sister(""Eric"", ""Theresa""). brother(""Theresa"", ""Eric""). father(""Theresa"", ""Kyle""). father(""Eric"", ""Kyle""). son(""Kyle"", ""Eric""). daughter(""Kyle"", ""Theresa""). wife(""Eric"", ""Robin""). husband(""Robin"", ""Eric"").",,husband-father
1319,"[Lisa] is taking a trip to see her sister [Marlene]. [Lisa] is making Thanksgiving dinner for her mother [Robin] and her husband, [Arthur]. [Marlene] loved her mother [Robin]. She was heartbroken when she heard [Robin] had suddenly passed away.","('Arthur', 'Robin')",mother-in-law,"sister(""Lisa"", ""Marlene""). sister(""Marlene"", ""Lisa""). mother(""Lisa"", ""Robin""). daughter(""Robin"", ""Lisa""). husband(""Lisa"", ""Arthur""). wife(""Arthur"", ""Lisa""). mother(""Marlene"", ""Robin""). daughter(""Robin"", ""Marlene"").",,wife-mother
1321,"[Eric] always saw his daughter, [Marlene], as the apple of his eye. [Eric] always looked up to his big brother [Henry] and wanted to be just like him. [Robin] is on her way to visit her daughter [Marlene]'s new house. [Robin]'s husband [Eric] is out of town and wo n't be going with her.","('Henry', 'Marlene')",niece,"daughter(""Eric"", ""Marlene""). father(""Marlene"", ""Eric""). brother(""Eric"", ""Henry""). husband(""Robin"", ""Eric""). wife(""Eric"", ""Robin""). daughter(""Robin"", ""Marlene""). mother(""Marlene"", ""Robin"").",,brother-daughter
1330,"[Kyle] and his daughter [Shirley] went to the store. [Shirley]'s child, [Stacy] was already there waiting for them. [Shirley] was talking about food with her sister [Theresa]. [Kyle] 'daughter [Theresa] was a beautiful women. [Theresa] also adored her father [Kyle]","('Stacy', 'Kyle')",grandfather,"father(""Shirley"", ""Kyle""). daughter(""Kyle"", ""Shirley""). child(""Shirley"", ""Stacy""). parent(""Stacy"", ""Shirley""). sister(""Shirley"", ""Theresa""). sister(""Theresa"", ""Shirley""). daughter(""Kyle"", ""Theresa""). father(""Theresa"", ""Kyle"").",,mother-father
1341,"When [Ronald] met [Kristen] at the hospital, he was relieved to see her face. It could have conveyed good or bad, but what it told him was that his wife [Dionne] had a successful surgery. When he asked her how she was, [Kristen] said ``her first words were'mom tell [Ronald] I love him. '' [Dionne] took her sister [Patty] out for dinner to celebrate her birthday. [Patty] and her mother [Kristen] went dress shopping on Saturday.","('Kristen', 'Ronald')",son-in-law,"wife(""Ronald"", ""Dionne""). husband(""Dionne"", ""Ronald""). sister(""Dionne"", ""Patty""). sister(""Patty"", ""Dionne""). mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Patty"").",,daughter-husband
1343,"[Kristen] is ready to dye Easter eggs with [Dorothy]! [Kristen] and her daughter [Patty] went to church. They were both very religious. [Patty] was talking to her grandmother, [Karen]. She told her that her sister, [Dorothy], had pulled her hair.","('Dorothy', 'Karen')",grandmother,"daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). granddaughter(""Patty"", ""Karen""). grandmother(""Karen"", ""Patty""). sister(""Patty"", ""Dorothy""). sister(""Dorothy"", ""Patty"").",,sister-grandmother
1355,"[Eric] made dinner reservations for his sister [Shirley]. [Raquel] adores her daughter [Shirley]. [Shirley] loves her very much, too. [Karen] and her daughter [Shirley] went out for ice cream. [Karen] got a cone and [Shirley] got a sundae. [Karen] loved to care for her newborn child [Eric].","('Karen', 'Raquel')",granddaughter,"sister(""Eric"", ""Shirley""). brother(""Shirley"", ""Eric""). daughter(""Raquel"", ""Shirley""). mother(""Shirley"", ""Raquel""). daughter(""Karen"", ""Shirley""). mother(""Shirley"", ""Karen""). child(""Karen"", ""Eric""), mother(""Eric"", ""Karen"").",,daughter-daughter
1357,[Robin] took her son [Allen] to the car dealership. [Allen]'s wife [Serena] is excited to get a new car. [Robin] was trying to calm down her daughter [Barbara]. [Barbara] was upset because her brother [Allen] kept making fun of her.,"('Serena', 'Robin')",mother-in-law,"son(""Robin"", ""Allen""). mother(""Allen"", ""Robin""). wife(""Allen"", ""Serena""). husband(""Serena"", ""Allen""). daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). brother(""Barbara"", ""Allen""). sister(""Allen"", ""Barbara"").",,husband-mother
1358,"[Eric] and his mother [Karen] are very close. They spend as much time together as they can. [Henry] helped his mother [Karen] move into a new apartment. [Barry], [Henry]'s son, helped them carry boxes inside the new apartment. [Eric] got mad at his brother [Henry] after he stole his pretzels.","('Barry', 'Karen')",grandmother,"mother(""Eric"", ""Karen""). son(""Karen"", ""Eric""). mother(""Henry"", ""Karen""). son(""Karen"", ""Henry"") son(""Henry"", ""Barry""). father(""Barry"", ""Henry""). brother(""Eric"", ""Henry""). brother(""Henry"", ""Eric"").",,father-mother
1359,"[Theresa] took her sister [Robin] out for dinner to celebrate her birthday. [Robin]'s brother, [Edward], was getting ready to start a new job. [Robin] was very happy for him. [Edward] is a factory worker. He has a wonderful sister by the name of [Theresa]. [Theresa]'s daughter, [Michelle], just graduated high school.","('Edward', 'Michelle')",niece,"sister(""Theresa"", ""Robin""). sister(""Robin"", ""Theresa""). brother(""Robin"", ""Edward""). sister(""Edward"", ""Robin""). brother(""Theresa"", ""Edward""). sister(""Edward"", ""Theresa""). daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa"").",,sister-daughter
1364,"[Vernon] and his daughter, [Stacy] go to concerts every week. [Andrew] and his sister [Stacy] stood in line at the fair. [Andrew] is the great aunt of the marvelous [Robin]. [Vernon]'s son [Andrew] entered rehab for the ninth time at the age of thirty.","('Vernon', 'Robin')",sister,"daughter(""Vernon"", ""Stacy""). father(""Stacy"", ""Vernon""). sister(""Andrew"", ""Stacy""). brother(""Stacy"", ""Andrew""). great_aunt(""Andrew"", ""Robin""). great_niece(""Robin"", ""Andrew""). son(""Vernon"", ""Andrew""). father(""Andrew"", ""Vernon"").",,son-aunt
1372,[Patty]'s grandfather [Kyle] enjoys spending time with her very much. [Karen] apologized to her father in law Rod for the accident. Rod's son [Kyle] had backed into his car in the driveway when he was attempting to pull out. [Kyle] asked his granddaughter [Dorothy] to take him to a doctor's appointment. [Dorothy] asked her sister [Patty] to come along but she said she could n't make it.,"('Karen', 'Patty')",granddaughter,"grandfather(""Patty"", ""Kyle""). granddaughter(""Kyle"", ""Patty""). son(""Rod"", ""Kyle""). father(""Kyle"", ""Rod""). granddaughter(""Kyle"", ""Dorothy""). grandfather(""Dorothy"", ""Kyle""). sister(""Dorothy"", ""Patty""). sister(""Patty"", ""Dorothy"").",,husband-granddaughter
1375,"[Allen] went with his father [Eric] to a baseball game. Jame's sister, [Shirley], called to ask where they wanted to meet up for dinner. [Lisa] invited her father [Eric] to her high school father daughter dance. [Lisa]'s brother [Allen] was going to be the star in the new show.","('Shirley', 'Allen')",nephew,"father(""Allen"", ""Eric""). son(""Eric"", ""Allen""). sister(""James"", ""Shirley""). brother(""Shirley"", ""James""). father(""Lisa"", ""Eric""). daughter(""Eric"", ""Lisa""). brother(""Lisa"", ""Allen""). sister(""Allen"", ""Lisa"").",,brother-son
1380,"[Eric] went to the restaurant to meet his sister, [Shirley], for dinner. [Shirley] was there, and as a surprise, her daughter [Constance] came along too. [Vernon] is making a very special present for his wife [Shirley]. [Constance] us the daughter of [Vernon] 'wife.","('Eric', 'Constance')",niece,"sister(""Eric"", ""Shirley""). brother(""Shirley"", ""Eric""). daughter(""Shirley"", ""Constance""). mother(""Constance"", ""Shirley""). wife(""Vernon"", ""Shirley""). husband(""Shirley"", ""Vernon""). daughter(""Vernon"", ""Constance""). father(""Constance"", ""Vernon"").",,sister-daughter
1386,[Kristen] took her daughter [Dorothy] to school during the cold winter morning. [Kristen] went shopping with her daughter [Dionne]. [Dionne]'s sister [Dorothy] was too busy to join them. [Benny] just got married to [Dorothy]. He's very happy with his new wife.,"('Benny', 'Kristen')",mother-in-law,"daughter(""Kristen"", ""Dorothy""). mother(""Dorothy"", ""Kristen""). daughter(""Kristen"", ""Dionne""). mother(""Dionne"", ""Kristen""). sister(""Dionne"", ""Dorothy""). sister(""Dorothy"", ""Dionne""). husband(""Dorothy"", ""Benny""). wife(""Benny"", ""Dorothy"").",,wife-mother
1392,"[Marlene] called [Lisa], her sister, to see if she wanted to go out to eat. [Eric] is taking his daughter [Marlene] out for lunch. [Eric] took her daughter [Lisa] for ice cream. [Theresa] went on a vacation with her brother [Eric].","('Theresa', 'Marlene')",niece,"sister(""Marlene"", ""Lisa""). sister(""Lisa"", ""Marlene""). daughter(""Eric"", ""Marlene""). father(""Marlene"", ""Eric""). daughter(""Eric"", ""Lisa""). father(""Lisa"", ""Eric""). brother(""Theresa"", ""Eric""). sister(""Eric"", ""Theresa"").",,brother-daughter
1396,"[Vernon] is washing clothes with his daughter [Raquel]. [Raquel]'s sister [Stacy] is folding clothes. [Casey] and [Stacy] decided to go on a date to celebrate their anniversary. During the date, [Stacy]'s father [Vernon] did some work in his garage.","('Vernon', 'Casey')",son-in-law,"daughter(""Vernon"", ""Raquel""). father(""Raquel"", ""Vernon""). sister(""Raquel"", ""Stacy""). sister(""Stacy"", ""Raquel""). husband(""Stacy"", ""Casey""). wife(""Casey"", ""Stacy""). father(""Stacy"", ""Vernon"").",,daughter-husband
1416,"[Verdie] went out for pizza with her father [Henry]. [Amanda] is unhappy with her husband, [Barry]. She says [Barry] spends too much time with his father, [Henry], and neglects her. [Verdie] went with her brother [Barry] to the mall to buy some new candles.","('Amanda', 'Henry')",father-in-law,"father(""Verdie"", ""Henry""). daughter(""Henry"", ""Verdie""). husband(""Amanda"", ""Barry""). wife(""Barry"", ""Amanda""). father(""Barry"", ""Henry""). son(""Henry"", ""Barry""). brother(""Verdie"", ""Barry""). sister(""Barry"", ""Verdie"").",,husband-father
1438,"[Shirley] took her son [Andrew] to school and his grandfather [Kyle] picked him up at then end of the school day. [Shirley]'s mom, [Constance] got ready for the party. [Shirley] was disappointed when her father, [Kyle] did not allow her to sleep over with her friends.","('Constance', 'Kyle')",grandfather,"son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley""). grandfather(""Andrew"", ""Kyle""). grandson(""Kyle"", ""Andrew""). mother(""Shirley"", ""Constance""). daughter(""Constance"", ""Shirley""). father(""Shirley"", ""Kyle""). daughter(""Kyle"", ""Shirley"").",,mother-father
1440,"[Barbara] and her husband [Carl] just celebrated 10 years of marriage. [Serena]'s mom, [Robin], has recently taken art classes. [Barbara] loved her mother [Robin]. She was heartbroken when she heard [Robin] had suddenly passed away. [Serena] was sewing a sweater for her sister [Barbara].","('Carl', 'Robin')",mother-in-law,"husband(""Barbara"", ""Carl""). wife(""Carl"", ""Barbara""). mother(""Serena"", ""Robin""). daughter(""Robin"", ""Serena""). mother(""Barbara"", ""Robin""). daughter(""Robin"", ""Barbara""). sister(""Serena"", ""Barbara"").",,wife-mother
1443,"[Vernon] has been married to [Shirley] for ten years today. [Shirley] noticed her daughter [Constance] was n't feeling well. [Constance]'s sister, [Stacy], went to get medicine. [Shirley] had a heart-to-heart conversation with her daughter [Stacy] about some things.","('Vernon', 'Stacy')",daughter,"spouse(""Vernon"", ""Shirley""). spouse(""Shirley"", ""Vernon""). mother(""Constance"", ""Shirley""). daughter(""Shirley"", ""Constance""). sister(""Constance"", ""Stacy""). sister(""Stacy"", ""Constance""). mother(""Stacy"", ""Shirley""). daughter(""Shirley"", ""Stacy"").",,wife-daughter
1444,"[Christine] looks up to her father, [Henry]. [Barry] took his wife [Amanda] out to dinner. [Barry] asked his father [Henry] to watch the kids. [Barry]'s sister, [Christine], was so happy to have him home. He was home from college.","('Amanda', 'Henry')",father-in-law,"father(""Christine"", ""Henry""). daughter(""Henry"", ""Christine""). wife(""Barry"", ""Amanda""). husband(""Amanda"", ""Barry""). father(""Barry"", ""Henry""). son(""Henry"", ""Barry""). sister(""Christine"", ""Barry""). brother(""Barry"", ""Christine"").",,husband-father
1450,"[Patty] cried in the arms of her mother, [Kristen], at the burial of [Kristen]'s husband, [Edward]. [Patty] is on a bowling team with her husband, [Jeffery] and her father, [Edward]. They play every Saturday.","('Edward', 'Jeffery')",son-in-law,"mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Patty""). husband(""Kristen"", ""Edward""). wife(""Edward"", ""Kristen""). husband(""Patty"", ""Jeffery""). wife(""Jeffery"", ""Patty""). father(""Patty"", ""Edward"").",,daughter-husband
1467,[Dorothy] has a wonderful relationship with her uncle [Vernon]. [Edward] is taking his daughter [Dorothy] out for lunch at her favorite restaurant. [Vernon] went to visit his brother [Edward] yesterday and his daughter [Constance] wanted to come along. He told her no because she needed to get her homework done.,"('Edward', 'Constance')",niece,"uncle(""Dorothy"", ""Vernon""). niece(""Vernon"", ""Dorothy""). daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward""). brother(""Vernon"", ""Edward""). brother(""Edward"", ""Vernon""). daughter(""Vernon"", ""Constance""). father(""Constance"", ""Vernon"").",,brother-daughter
1471,"[Lonnie] made a pie for his sister [Dionne]. He learned the recipe from his mother [Kristen]. [Henry] liked to talk about his sister, [Kristen]. [Kristen] and her daughter [Dionne] are entering the competition together.","('Henry', 'Dionne')",niece,"sister(""Lonnie"", ""Dionne""). brother(""Dionne"", ""Lonnie""). mother(""Lonnie"", ""Kristen""). son(""Kristen"", ""Lonnie""). sister(""Henry"", ""Kristen""). brother(""Kristen"", ""Henry""). daughter(""Kristen"", ""Dionne""). mother(""Dionne"", ""Kristen"").",,sister-daughter
1474,"[Barry] became friends with [Amanda] in high school, and later the two were married. [Theresa] is a lovely mother. She has a son named [Barry], who she loves infinitely. [John] asked his mother [Theresa] where babies came from. [Theresa] told him they came from the stork. [Barry] and his brother [John] just talked on the phone for the first time in years.","('Amanda', 'Theresa')",mother-in-law,"husband(""Barry"", ""Amanda""). wife(""Amanda"", ""Barry""). son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa""). mother(""Theresa"", ""John""). son(""John"", ""Theresa""). brother(""John"", ""Barry""). brother(""Barry"", ""John"").",,husband-mother
1480,"[Eric] loves watching movies with his daughter. Her name is [Barbara]. [Serena] and her father [Eric] went for a hike in the mountains. [Eric] and his sister [Kristen] were hoping for a snow day. [Serena] is getting married. She is looking forward to her sister, [Barbara], attending. They have n't seen each other since [Barbara] relocated to California with her husband 3 years ago.","('Serena', 'Kristen')",aunt,"daughter(""Eric"", ""Barbara""). father(""Barbara"", ""Eric""). daughter(""Eric"", ""Serena""). father(""Serena"", ""Eric""). sister(""Eric"", ""Kristen""). brother(""Kristen"", ""Eric""). sister(""Serena"", ""Barbara""). sister(""Barbara"", ""Serena"")",,father-sister
1482,"[Kyle] wants to take his son [Edward] shopping. [Lonnie] is looking forward to his special dinner with his dad [Edward]. [Kyle] took his granddaughter, [Patty], to a basketball game last night. [Edward] was shopping for a new dress for his daughter [Patty].","('Lonnie', 'Kyle')",grandfather,"son(""Kyle"", ""Edward""). father(""Edward"", ""Kyle""). dad(""Lonnie"", ""Edward""). son(""Edward"", ""Lonnie""). granddaughter(""Kyle"", ""Patty""). grandfather(""Patty"", ""Kyle""). daughter(""Edward"", ""Patty""). father(""Patty"", ""Edward"").",,father-father
1489,"[Eddie]'s father [Henry] is going to coach the team this year. [Christine] and her husband [Darnell] are heading to the ice cream parlour. [Henry] calls his daughter [Christine] and asks her to bring him back an ice cream cone. [Eddie]'s sister, [Christine], was so happy to have him home. He was home from college.","('Henry', 'Darnell')",son-in-law,"father(""Eddie"", ""Henry""). son(""Henry"", ""Eddie""). husband(""Christine"", ""Darnell""). wife(""Darnell"", ""Christine""). daughter(""Henry"", ""Christine""). father(""Christine"", ""Henry""). sister(""Christine"", ""Eddie""). brother(""Eddie"", ""Christine"").",,daughter-husband
1492,"[Stacy] and her sister [Constance] have never been close. Still, they love each other because they are family. [Vernon] took his daughter [Constance] to the bookstore, and bought her some books from her favorite author. [Vernon] and his brother [Henry] were wrestling. [Stacy], [Vernon]'s daughter, was cheering on the competition.","('Henry', 'Stacy')",niece,"sister(""Stacy"", ""Constance""). sister(""Constance"", ""Stacy""). daughter(""Vernon"", ""Constance""). father(""Constance"", ""Vernon""). brother(""Vernon"", ""Henry""). brother(""Henry"", ""Vernon""). daughter(""Vernon"", ""Stacy""). father(""Stacy"", ""Vernon"").",,brother-daughter
1506,[Andrew] was enjoying the delicious meal prepared by his mother [Shirley]. [Robin] has sister who just had a baby boy and named him [Drew]. [Robin] is exited to be his aunt. [Shirley]'s son called [Drew] is good and intelligent boy [Robin] and her sister [Shirley] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while.,"('Andrew', 'Robin')",aunt,"son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley""). nephew(""Robin"", ""Drew""). aunt(""Drew"", ""Robin""). son(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley"") sister(""Robin"", ""Shirley""). sister(""Shirley"", ""Robin"").",,mother-sister
